"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2021,CO2e,Commercial,Auxiliary Equipment,248675.34576246695
2021,CO2e,Commercial,Space Cooling,13089.168021746947
2021,CO2e,Commercial,Space Heating,1853735.6410556394
2021,CO2e,Commercial,Water Heating,319453.42719983665
2021,CO2e,Industry,Industrial Processes,635663.5283451224
2021,CO2e,Industry,Space Cooling,1478.4038300529369
2021,CO2e,Industry,Space Heating,40816.92878454133
2021,CO2e,Industry,Water Heating,154127.75141897713
2021,CO2e,Public,Auxiliary Equipment,17781.50376413663
2021,CO2e,Public,Space Cooling,18871.42431880453
2021,CO2e,Public,Space Heating,384959.6083863505
2021,CO2e,Public,Water Heating,49629.43822227719
2021,CO2e,Residential,Clothe Dryer,4506.224941918529
2021,CO2e,Residential,Range,4585.98672484691
2021,CO2e,Residential,Space Heating,2907214.7868822585
2021,CO2e,Residential,Water Heating,1006878.303597654
2021,N2O,Commercial,Auxiliary Equipment,10.896235514506804
2021,N2O,Commercial,Space Cooling,0.3548333053835578
2021,N2O,Commercial,Space Heating,37.939957936992315
2021,N2O,Commercial,Water Heating,6.3447859980693595
2021,N2O,Industry,Industrial Processes,11.48958169660292
2021,N2O,Industry,Space Cooling,0.02724512601936114
2021,N2O,Industry,Space Heating,0.8117541312141
2021,N2O,Industry,Water Heating,3.129442522424655
2021,N2O,Public,Auxiliary Equipment,0.35535089094573546
2021,N2O,Public,Space Cooling,0.49348245138749797
2021,N2O,Public,Space Heating,6.993648121241162
2021,N2O,Public,Water Heating,0.9504181821642564
2021,N2O,Residential,Clothe Dryer,0.08304406679585141
2021,N2O,Residential,Range,0.08451397629096878
2021,N2O,Residential,Space Heating,54.202504664045115
2021,N2O,Residential,Water Heating,28.79114147065443
2022,CH4,Commercial,Auxiliary Equipment,4.483572869977807
2022,CH4,Commercial,Space Cooling,0.37832303863588546
2022,CH4,Commercial,Space Heating,35.825800719319254
2022,CH4,Commercial,Water Heating,6.20248478906147
2022,CH4,Industry,Industrial Processes,12.68469634593134
2022,CH4,Industry,Space Cooling,0.028835447848406862
2022,CH4,Industry,Space Heating,0.7699612315959417
2022,CH4,Industry,Water Heating,2.9436331400467237
2022,CH4,Public,Auxiliary Equipment,0.3772018974303131
2022,CH4,Public,Space Cooling,0.5373842145838443
2022,CH4,Public,Space Heating,7.36798665853108
2022,CH4,Public,Water Heating,0.9927819032044203
2022,CH4,Residential,Clothe Dryer,0.08777553254081259
2022,CH4,Residential,Range,0.04461052255229747
2022,CH4,Residential,Space Heating,212.73832262128943
2022,CH4,Residential,Water Heating,958.4241697759948
2022,CO2,Commercial,Auxiliary Equipment,246214.14630113772
2022,CO2,Commercial,Space Cooling,13151.616649465708
2022,CO2,Commercial,Space Heating,1832632.9923384623
2022,CO2,Commercial,Water Heating,319050.54450190644
2022,CO2,Industry,Industrial Processes,632707.687928421
2022,CO2,Industry,Space Cooling,1471.3871766970851
2022,CO2,Industry,Space Heating,40605.990357709095
2022,CO2,Industry,Water Heating,153311.31858359708
2022,CO2,Public,Auxiliary Equipment,17773.38555282443
2022,CO2,Public,Space Cooling,19280.35168743816
2022,CO2,Public,Space Heating,384306.36974625796
2022,CO2,Public,Water Heating,49273.11433548279
2022,CO2,Residential,Clothe Dryer,4478.9244712717355
2022,CO2,Residential,Range,2276.3423399658823
2022,CO2,Residential,Space Heating,2876092.6936710607
2022,CO2,Residential,Water Heating,987522.0004273971
2022,CO2e,Commercial,Auxiliary Equipment,249566.68303540768
2022,CO2e,Commercial,Space Cooling,13266.20759706352
2022,CO2e,Commercial,Space Heating,1844472.945611394
2022,CO2e,Commercial,Water Heating,321100.2027638047
2022,CO2e,Industry,Industrial Processes,636401.939224049
2022,CO2e,Industry,Space Cooling,1480.1212000494384
2022,CO2e,Industry,Space Heating,40864.343278067354
2022,CO2e,Industry,Water Heating,154306.79206442265
2022,CO2e,Public,Auxiliary Equipment,17887.68699483232
2022,CO2e,Public,Space Cooling,19443.120959545595
2022,CO2e,Public,Space Heating,386555.2024346867
2022,CO2e,Public,Water Heating,49577.07252218696
2022,CO2e,Residential,Clothe Dryer,4505.51096838484
2022,CO2e,Residential,Range,2289.854505540033
2022,CO2e,Residential,Space Heating,2896707.2736061355
2022,CO2e,Residential,Water Heating,1016425.9950342899
2022,N2O,Commercial,Auxiliary Equipment,10.934166791947218
2022,N2O,Commercial,Space Cooling,0.35787303284043903
2022,N2O,Commercial,Space Heating,37.20674985848015
2022,N2O,Commercial,Water Heating,6.440960004456574
2022,N2O,Industry,Industrial Processes,11.502928430748907
2022,N2O,Industry,Space Cooling,0.02727677499173622
2022,N2O,Industry,Space Heating,0.81269709561992
2022,N2O,Industry,Water Heating,3.1330778016259924
2022,N2O,Public,Auxiliary Equipment,0.356980544167273
2022,N2O,Public,Space Cooling,0.5083362536952236
2022,N2O,Public,Space Heating,7.027197881204697
2022,N2O,Public,Water Heating,0.9500327742849582
2022,N2O,Residential,Clothe Dryer,0.08303090916022818
2022,N2O,Residential,Range,0.04219914295487601
2022,N2O,Residential,Space Heating,54.18481597324641
2022,N2O,Residential,Water Heating,29.453312220122893
2023,CH4,Commercial,Auxiliary Equipment,2.574984458590555
