regions,periods,tech,maxact,maxact_unites,max_act_notes
TO,2040,COMBDGHLCOldSHPLT___STDELC_16,0,,
TO,2040,COMBDGHLCOldSHPLT1000WSTDELC_23,0,,
TO,2040,COMBDGHLCOldSHPLT1500WSTDELC_23,0,,
TO,2040,COMBDGHLCOldSHPLT500WSTDELC_23,0,,
TO,2040,COMBDGHLCOldWH______STDELC_16,0,,
TO,2040,COMBDGHLCOldWH______STDHFO_16,0,,
TO,2040,COMBDGHLCOldWH______STDKER_16,0,,
TO,2040,COMBDGHLCOldWH______STDLFO_16,0,,
TO,2040,COMBDGHLCOldWH______STDNGA_16,0,,
TO,2040,COMBDGHLCOldWH______STDPRO_16,0,,
TO,2040,COMBDGHLCOldWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGHLCOldWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGHLCOldWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGHLCOldWHSYS___STDBMA_23,0,,
TO,2040,COMBDGHLCOldWHSYS___STDBWP_23,0,,
TO,2040,COMBDGHLCOldWHSYS___STDHFO_23,0,,
TO,2040,COMBDGHLCOldWHSYS___STDKER_23,0,,
TO,2040,COMBDGHLCOldWHSYS___STDLFO_23,0,,
TO,2040,COMBDGHLCOldWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGHLCOldWHWTK___HIGELC_23,0,,
TO,2040,COMBDGHLCOldWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGHLCOldWHWTK___STDELC_23,0,,
TO,2040,COMBDGHLCOldWHWTK___STDNGA_23,0,,
TO,2040,COMBDGICINewSHFUR___ESRNGA_23,0,,
TO,2040,COMBDGICINewSHFUR___ESRPRO_23,0,,
TO,2040,COMBDGICINewSHFUR___HIGHFO_23,0,,
TO,2040,COMBDGICINewSHFUR___HIGLFO_23,0,,
TO,2040,COMBDGICINewSHFUR___HIGNGA_16,0,,
TO,2040,COMBDGICINewSHFUR___HIGNGA_23,0,,
TO,2040,COMBDGICINewSHFUR___HIGPRO_23,0,,
TO,2040,COMBDGICINewSHFUR___STDELC_16,0,,
TO,2040,COMBDGICINewSHFUR___STDELC_23,0,,
TO,2040,COMBDGICINewSHFUR___STDHFO_16,0,,
TO,2040,COMBDGICINewSHFUR___STDHFO_23,0,,
TO,2040,COMBDGICINewSHFUR___STDKER_16,0,,
TO,2040,COMBDGICINewSHFUR___STDKER_23,0,,
TO,2040,COMBDGICINewSHFUR___STDLFO_16,0,,
TO,2040,COMBDGICINewSHFUR___STDLFO_23,0,,
TO,2040,COMBDGICINewSHFUR___STDNGA_16,0,,
TO,2040,COMBDGICINewSHFUR___STDNGA_23,0,,
TO,2040,COMBDGICINewSHFUR___STDPRO_16,0,,
TO,2040,COMBDGICINewSHFUR___STDPRO_23,0,,
TO,2040,COMBDGICINewSHFURLARSTDHH2_23,0,,
TO,2040,COMBDGICINewSHFURMEDSTDHH2_23,0,,
TO,2040,COMBDGICINewSHFURSMASTDHH2_23,0,,
TO,2040,COMBDGICINewSHHEP___STDNGA_23,0,,
TO,2040,COMBDGICINewSHPLT___STDELC_16,0,,
TO,2040,COMBDGICINewSHPLT1000WSTDELC_23,0,,
TO,2040,COMBDGICINewSHPLT1500WSTDELC_23,0,,
TO,2040,COMBDGICINewSHPLT500WSTDELC_23,0,,
TO,2040,COMBDGICINewWH______STDELC_16,0,,
TO,2040,COMBDGICINewWH______STDHFO_16,0,,
TO,2040,COMBDGICINewWH______STDKER_16,0,,
TO,2040,COMBDGICINewWH______STDLFO_16,0,,
TO,2040,COMBDGICINewWH______STDNGA_16,0,,
TO,2040,COMBDGICINewWH______STDPRO_16,0,,
TO,2040,COMBDGICINewWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGICINewWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGICINewWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGICINewWHSYS___STDBMA_23,0,,
TO,2040,COMBDGICINewWHSYS___STDBWP_23,0,,
TO,2040,COMBDGICINewWHSYS___STDHFO_23,0,,
TO,2040,COMBDGICINewWHSYS___STDKER_23,0,,
TO,2040,COMBDGICINewWHSYS___STDLFO_23,0,,
TO,2040,COMBDGICINewWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGICINewWHWTK___HIGELC_23,0,,
TO,2040,COMBDGICINewWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGICINewWHWTK___STDELC_23,0,,
