tech,flag,sector,tech_desc,tech_category
RESBDGSDE1960SH,p,RESBDG,ResidentialBuildingSingle Detached1960Space Heating,
RESBDGSDE1977SH,p,RESBDG,ResidentialBuildingSingle Detached1977Space Heating,
RESBDGSDE1983SH,p,RESBDG,ResidentialBuildingSingle Detached1983Space Heating,
RESBDGSDE1995SH,p,RESBDG,ResidentialBuildingSingle Detached1995Space Heating,
RESBDGSDE2000SH,p,RESBDG,ResidentialBuildingSingle Detached2000Space Heating,
RESBDGSDE2005SH,p,RESBDG,ResidentialBuildingSingle Detached2005Space Heating,
RESBDGSDE2010SH,p,RESBDG,ResidentialBuildingSingle Detached2010Space Heating,
RESBDGSDE2015SH,p,RESBDG,ResidentialBuildingSingle Detached2015Space Heating,
RESBDGSDE2020SH,p,RESBDG,ResidentialBuildingSingle Detached2020Space Heating,
RESBDGSDE2025SH,p,RESBDG,ResidentialBuildingSingle Detached2025Space Heating,
RESBDGSDE2030SH,p,RESBDG,ResidentialBuildingSingle Detached2030Space Heating,
RESBDGSDE2035SH,p,RESBDG,ResidentialBuildingSingle Detached2035Space Heating,
RESBDGSDE2040SH,p,RESBDG,ResidentialBuildingSingle Detached2040Space Heating,
RESBDGSDE2045SH,p,RESBDG,ResidentialBuildingSingle Detached2045Space Heating,
RESBDGSAT1960SH,p,RESBDG,ResidentialBuildingSingle Attached1960Space Heating,
RESBDGSAT1977SH,p,RESBDG,ResidentialBuildingSingle Attached1977Space Heating,
RESBDGSAT1983SH,p,RESBDG,ResidentialBuildingSingle Attached1983Space Heating,
RESBDGSAT1995SH,p,RESBDG,ResidentialBuildingSingle Attached1995Space Heating,
RESBDGSAT2000SH,p,RESBDG,ResidentialBuildingSingle Attached2000Space Heating,
RESBDGSAT2005SH,p,RESBDG,ResidentialBuildingSingle Attached2005Space Heating,
RESBDGSAT2010SH,p,RESBDG,ResidentialBuildingSingle Attached2010Space Heating,
RESBDGSAT2015SH,p,RESBDG,ResidentialBuildingSingle Attached2015Space Heating,
RESBDGSAT2020SH,p,RESBDG,ResidentialBuildingSingle Attached2020Space Heating,
RESBDGSAT2025SH,p,RESBDG,ResidentialBuildingSingle Attached2025Space Heating,
RESBDGSAT2030SH,p,RESBDG,ResidentialBuildingSingle Attached2030Space Heating,
RESBDGSAT2035SH,p,RESBDG,ResidentialBuildingSingle Attached2035Space Heating,
RESBDGSAT2040SH,p,RESBDG,ResidentialBuildingSingle Attached2040Space Heating,
RESBDGSAT2045SH,p,RESBDG,ResidentialBuildingSingle Attached2045Space Heating,
RESBDGAPA1960APL,p,RESBDG,ResidentialBuildingApartments1960Appliances,
RESBDGAPA1977APL,p,RESBDG,ResidentialBuildingApartments1977Appliances,
RESBDGAPA1983APL,p,RESBDG,ResidentialBuildingApartments1983Appliances,
RESBDGAPA1995APL,p,RESBDG,ResidentialBuildingApartments1995Appliances,
RESBDGAPA2000APL,p,RESBDG,ResidentialBuildingApartments2000Appliances,
RESBDGAPA2005APL,p,RESBDG,ResidentialBuildingApartments2005Appliances,
RESBDGAPA2010APL,p,RESBDG,ResidentialBuildingApartments2010Appliances,
RESBDGAPA2015APL,p,RESBDG,ResidentialBuildingApartments2015Appliances,
RESBDGAPA2020APL,p,RESBDG,ResidentialBuildingApartments2020Appliances,
RESBDGAPA2025APL,p,RESBDG,ResidentialBuildingApartments2025Appliances,
RESBDGAPA2030APL,p,RESBDG,ResidentialBuildingApartments2030Appliances,
RESBDGAPA2035APL,p,RESBDG,ResidentialBuildingApartments2035Appliances,
RESBDGAPA2040APL,p,RESBDG,ResidentialBuildingApartments2040Appliances,
RESBDGAPA2045APL,p,RESBDG,ResidentialBuildingApartments2045Appliances,
RESBDGSDE1960APL,p,RESBDG,ResidentialBuildingSingle Detached1960Appliances,
RESBDGSDE1977APL,p,RESBDG,ResidentialBuildingSingle Detached1977Appliances,
RESBDGSDE1983APL,p,RESBDG,ResidentialBuildingSingle Detached1983Appliances,
RESBDGSDE1995APL,p,RESBDG,ResidentialBuildingSingle Detached1995Appliances,
RESBDGSDE2000APL,p,RESBDG,ResidentialBuildingSingle Detached2000Appliances,
RESBDGSDE2005APL,p,RESBDG,ResidentialBuildingSingle Detached2005Appliances,
RESBDGSDE2010APL,p,RESBDG,ResidentialBuildingSingle Detached2010Appliances,
RESBDGSDE2015APL,p,RESBDG,ResidentialBuildingSingle Detached2015Appliances,
RESBDGSDE2020APL,p,RESBDG,ResidentialBuildingSingle Detached2020Appliances,
RESBDGSDE2025APL,p,RESBDG,ResidentialBuildingSingle Detached2025Appliances,
RESBDGSDE2030APL,p,RESBDG,ResidentialBuildingSingle Detached2030Appliances,
RESBDGSDE2035APL,p,RESBDG,ResidentialBuildingSingle Detached2035Appliances,
RESBDGSDE2040APL,p,RESBDG,ResidentialBuildingSingle Detached2040Appliances,
RESBDGSDE2045APL,p,RESBDG,ResidentialBuildingSingle Detached2045Appliances,
RESBDGSAT1960APL,p,RESBDG,ResidentialBuildingSingle Attached1960Appliances,
RESBDGSAT1977APL,p,RESBDG,ResidentialBuildingSingle Attached1977Appliances,
RESBDGSAT1983APL,p,RESBDG,ResidentialBuildingSingle Attached1983Appliances,
RESBDGSAT1995APL,p,RESBDG,ResidentialBuildingSingle Attached1995Appliances,
RESBDGSAT2000APL,p,RESBDG,ResidentialBuildingSingle Attached2000Appliances,
RESBDGSAT2005APL,p,RESBDG,ResidentialBuildingSingle Attached2005Appliances,
RESBDGSAT2010APL,p,RESBDG,ResidentialBuildingSingle Attached2010Appliances,
RESBDGSAT2015APL,p,RESBDG,ResidentialBuildingSingle Attached2015Appliances,
RESBDGSAT2020APL,p,RESBDG,ResidentialBuildingSingle Attached2020Appliances,
RESBDGSAT2025APL,p,RESBDG,ResidentialBuildingSingle Attached2025Appliances,
RESBDGSAT2030APL,p,RESBDG,ResidentialBuildingSingle Attached2030Appliances,
RESBDGSAT2035APL,p,RESBDG,ResidentialBuildingSingle Attached2035Appliances,
RESBDGSAT2040APL,p,RESBDG,ResidentialBuildingSingle Attached2040Appliances,
RESBDGSAT2045APL,p,RESBDG,ResidentialBuildingSingle Attached2045Appliances,
RESBDGAPA1960REF,p,RESBDG,ResidentialBuildingApartments1960Refrigerator,
RESBDGAPA1977REF,p,RESBDG,ResidentialBuildingApartments1977Refrigerator,
RESBDGAPA1983REF,p,RESBDG,ResidentialBuildingApartments1983Refrigerator,
RESBDGAPA1995REF,p,RESBDG,ResidentialBuildingApartments1995Refrigerator,
RESBDGAPA2000REF,p,RESBDG,ResidentialBuildingApartments2000Refrigerator,
RESBDGAPA2005REF,p,RESBDG,ResidentialBuildingApartments2005Refrigerator,
RESBDGAPA2010REF,p,RESBDG,ResidentialBuildingApartments2010Refrigerator,
RESBDGAPA2015REF,p,RESBDG,ResidentialBuildingApartments2015Refrigerator,
RESBDGAPA2020REF,p,RESBDG,ResidentialBuildingApartments2020Refrigerator,
RESBDGAPA2025REF,p,RESBDG,ResidentialBuildingApartments2025Refrigerator,
RESBDGAPA2030REF,p,RESBDG,ResidentialBuildingApartments2030Refrigerator,
RESBDGAPA2035REF,p,RESBDG,ResidentialBuildingApartments2035Refrigerator,
RESBDGAPA2040REF,p,RESBDG,ResidentialBuildingApartments2040Refrigerator,
RESBDGAPA2045REF,p,RESBDG,ResidentialBuildingApartments2045Refrigerator,
RESBDGSDE1960REF,p,RESBDG,ResidentialBuildingSingle Detached1960Refrigerator,
RESBDGSDE1977REF,p,RESBDG,ResidentialBuildingSingle Detached1977Refrigerator,
RESBDGSDE1983REF,p,RESBDG,ResidentialBuildingSingle Detached1983Refrigerator,
