regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGAPA2045APL,0.0,kunits,Aggregated DemandResidentialBuildingApartments2045Appliances
TO,2016,ADEMRESBDGSDE1960APL,154.749,kunits,Aggregated DemandResidentialBuildingSingle Detached1960Appliances
TO,2016,ADEMRESBDGSDE1977APL,84.437,kunits,Aggregated DemandResidentialBuildingSingle Detached1977Appliances
TO,2016,ADEMRESBDGSDE1983APL,12.914,kunits,Aggregated DemandResidentialBuildingSingle Detached1983Appliances
TO,2016,ADEMRESBDGSDE1995APL,21.308,kunits,Aggregated DemandResidentialBuildingSingle Detached1995Appliances
TO,2016,ADEMRESBDGSDE2000APL,4.238,kunits,Aggregated DemandResidentialBuildingSingle Detached2000Appliances
TO,2016,ADEMRESBDGSDE2005APL,6.33,kunits,Aggregated DemandResidentialBuildingSingle Detached2005Appliances
TO,2016,ADEMRESBDGSDE2010APL,7.727,kunits,Aggregated DemandResidentialBuildingSingle Detached2010Appliances
TO,2016,ADEMRESBDGSDE2015APL,11.604,kunits,Aggregated DemandResidentialBuildingSingle Detached2015Appliances
TO,2016,ADEMRESBDGSDE2020APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2020Appliances
TO,2016,ADEMRESBDGSDE2025APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2025Appliances
TO,2016,ADEMRESBDGSDE2030APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2030Appliances
TO,2016,ADEMRESBDGSDE2035APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2035Appliances
TO,2016,ADEMRESBDGSDE2040APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2040Appliances
TO,2016,ADEMRESBDGSDE2045APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2045Appliances
TO,2016,ADEMRESBDGSAT1960APL,71.873,kunits,Aggregated DemandResidentialBuildingSingle Attached1960Appliances
TO,2016,ADEMRESBDGSAT1977APL,46.425,kunits,Aggregated DemandResidentialBuildingSingle Attached1977Appliances
TO,2016,ADEMRESBDGSAT1983APL,12.109,kunits,Aggregated DemandResidentialBuildingSingle Attached1983Appliances
TO,2016,ADEMRESBDGSAT1995APL,3.769,kunits,Aggregated DemandResidentialBuildingSingle Attached1995Appliances
TO,2016,ADEMRESBDGSAT2000APL,2.052,kunits,Aggregated DemandResidentialBuildingSingle Attached2000Appliances
