comm_name,flag,comm_desc
ADEMRESBDGSDE2000CWA,d,Aggregated DemandResidentialBuildingSingle Detached2000Clothe Washer
ADEMRESBDGSDE2005CWA,d,Aggregated DemandResidentialBuildingSingle Detached2005Clothe Washer
ADEMRESBDGSDE2010CWA,d,Aggregated DemandResidentialBuildingSingle Detached2010Clothe Washer
ADEMRESBDGSDE2015CWA,d,Aggregated DemandResidentialBuildingSingle Detached2015Clothe Washer
ADEMRESBDGSDE2020CWA,d,Aggregated DemandResidentialBuildingSingle Detached2020Clothe Washer
ADEMRESBDGSDE2025CWA,d,Aggregated DemandResidentialBuildingSingle Detached2025Clothe Washer
ADEMRESBDGSDE2030CWA,d,Aggregated DemandResidentialBuildingSingle Detached2030Clothe Washer
ADEMRESBDGSDE2035CWA,d,Aggregated DemandResidentialBuildingSingle Detached2035Clothe Washer
ADEMRESBDGSDE2040CWA,d,Aggregated DemandResidentialBuildingSingle Detached2040Clothe Washer
ADEMRESBDGSDE2045CWA,d,Aggregated DemandResidentialBuildingSingle Detached2045Clothe Washer
ADEMRESBDGSAT1960CWA,d,Aggregated DemandResidentialBuildingSingle Attached1960Clothe Washer
ADEMRESBDGSAT1977CWA,d,Aggregated DemandResidentialBuildingSingle Attached1977Clothe Washer
ADEMRESBDGSAT1983CWA,d,Aggregated DemandResidentialBuildingSingle Attached1983Clothe Washer
ADEMRESBDGSAT1995CWA,d,Aggregated DemandResidentialBuildingSingle Attached1995Clothe Washer
ADEMRESBDGSAT2000CWA,d,Aggregated DemandResidentialBuildingSingle Attached2000Clothe Washer
ADEMRESBDGSAT2005CWA,d,Aggregated DemandResidentialBuildingSingle Attached2005Clothe Washer
ADEMRESBDGSAT2010CWA,d,Aggregated DemandResidentialBuildingSingle Attached2010Clothe Washer
