regions,periods,tech,maxact,maxaxt_notes,maxact_notes
TO,2050,COMBDGEDSOldSHFUR___STDELC_23,0,,
TO,2050,COMBDGEDSOldSHFUR___STDHFO_16,0,,
TO,2050,COMBDGEDSOldSHFUR___STDHFO_23,0,,
TO,2050,COMBDGEDSOldSHFUR___STDKER_16,0,,
TO,2050,COMBDGEDSOldSHFUR___STDKER_23,0,,
TO,2050,COMBDGEDSOldSHFUR___STDLFO_16,0,,
TO,2050,COMBDGEDSOldSHFUR___STDLFO_23,0,,
TO,2050,COMBDGEDSOldSHFUR___STDNGA_16,0,,
TO,2050,COMBDGEDSOldSHFUR___STDNGA_23,0,,
TO,2050,COMBDGEDSOldSHFUR___STDPRO_16,0,,
TO,2050,COMBDGEDSOldSHFUR___STDPRO_23,0,,
TO,2050,COMBDGEDSOldSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGEDSOldSHFURMEDSTDHH2_23,0,,
TO,2050,COMBDGEDSOldSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGEDSOldSHHEP___STDELC_16,0,,
TO,2050,COMBDGEDSOldSHHEP___STDNGA_23,0,,
TO,2050,COMBDGEDSOldSHPLT___STDELC_16,0,,
TO,2050,COMBDGEDSOldSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGEDSOldSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGEDSOldSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGEDSOldWH______STDELC_16,0,,
TO,2050,COMBDGEDSOldWH______STDHFO_16,0,,
TO,2050,COMBDGEDSOldWH______STDKER_16,0,,
TO,2050,COMBDGEDSOldWH______STDLFO_16,0,,
TO,2050,COMBDGEDSOldWH______STDNGA_16,0,,
TO,2050,COMBDGEDSOldWH______STDPRO_16,0,,
TO,2050,COMBDGEDSOldWHSTHBCKSTDELC_23,0,,
TO,2050,COMBDGEDSOldWHSTHBCKSTDNGA_23,0,,
TO,2050,COMBDGEDSOldWHSYS___ESRPRO_23,0,,
TO,2050,COMBDGEDSOldWHSYS___STDBMA_23,0,,
TO,2050,COMBDGEDSOldWHSYS___STDBWP_23,0,,
TO,2050,COMBDGEDSOldWHSYS___STDHFO_23,0,,
TO,2050,COMBDGEDSOldWHSYS___STDKER_23,0,,
TO,2050,COMBDGEDSOldWHSYS___STDLFO_23,0,,
TO,2050,COMBDGEDSOldWHWTK___ESRNGA_23,0,,
TO,2050,COMBDGEDSOldWHWTK___HIGELC_23,0,,
TO,2050,COMBDGEDSOldWHWTK___HIGNGA_23,0,,
TO,2050,COMBDGEDSOldWHWTK___STDELC_23,0,,
TO,2050,COMBDGEDSOldWHWTK___STDNGA_23,0,,
TO,2050,COMBDGHLCNewSHFUR___ESRNGA_23,0,,
TO,2050,COMBDGHLCNewSHFUR___ESRPRO_23,0,,
TO,2050,COMBDGHLCNewSHFUR___HIGHFO_23,0,,
TO,2050,COMBDGHLCNewSHFUR___HIGLFO_23,0,,
TO,2050,COMBDGHLCNewSHFUR___HIGNGA_16,0,,
TO,2050,COMBDGHLCNewSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGHLCNewSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGHLCNewSHFUR___STDELC_16,0,,
TO,2050,COMBDGHLCNewSHFUR___STDELC_23,0,,
TO,2050,COMBDGHLCNewSHFUR___STDHFO_16,0,,
TO,2050,COMBDGHLCNewSHFUR___STDHFO_23,0,,
TO,2050,COMBDGHLCNewSHFUR___STDKER_16,0,,
TO,2050,COMBDGHLCNewSHFUR___STDKER_23,0,,
TO,2050,COMBDGHLCNewSHFUR___STDLFO_16,0,,
TO,2050,COMBDGHLCNewSHFUR___STDLFO_23,0,,
TO,2050,COMBDGHLCNewSHFUR___STDNGA_16,0,,
TO,2050,COMBDGHLCNewSHFUR___STDNGA_23,0,,
TO,2050,COMBDGHLCNewSHFUR___STDPRO_16,0,,
