GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2020,CO2,Commercial,Other Services,Old,115076.69182514098
2020,CO2,Commercial,Retail Trade,Old,354781.37721414905
2020,CO2,Commercial,Transportation and Warehousing,Old,62200.75353304793
2020,CO2,Commercial,Wholesale Trade,Old,220160.20457032352
2020,CO2,Industry,,,826181.3467658481
2020,CO2,Public,Hospital,Old,96467.74671022285
2020,CO2,Public,Municipality,Old,77907.56557339578
2020,CO2,Public,Post-Secondary Institution,Old,143169.68095682835
2020,CO2,Public,School board,Old,148359.245843706
2020,CO2,Residential,Apartments,Old,1480776.5992156228
2020,CO2,Residential,Single Attached,Old,733280.0290437604
2020,CO2,Residential,Single Detached,Old,1649289.3133060047
2020,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,94843.76717953329
2020,CO2e,Commercial,Accommodation and Food Services,Old,110444.6300679919
2020,CO2e,Commercial,Educational Services,Old,281162.3561380462
2020,CO2e,Commercial,Health Care and Social Assistance,Old,177993.805513297
2020,CO2e,Commercial,Information and Cultural Industries,Old,13699.81761325991
2020,CO2e,Commercial,Offices,Old,992090.4124568136
2020,CO2e,Commercial,Other Services,Old,115849.87894350546
2020,CO2e,Commercial,Retail Trade,Old,357173.32458164124
2020,CO2e,Commercial,Transportation and Warehousing,Old,62643.138991939806
2020,CO2e,Commercial,Wholesale Trade,Old,221694.30492580464
2020,CO2e,Industry,,,831126.6954734747
2020,CO2e,Public,Hospital,Old,97012.30135172035
2020,CO2e,Public,Municipality,Old,78386.35171836111
2020,CO2e,Public,Post-Secondary Institution,Old,144023.916107721
2020,CO2e,Public,School board,Old,149275.1863868681
2020,CO2e,Residential,Apartments,Old,1501699.251295577
2020,CO2e,Residential,Single Attached,Old,741785.9715454399
2020,CO2e,Residential,Single Detached,Old,1667163.3087451372
2020,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0432708321509523
2020,N2O,Commercial,Accommodation and Food Services,Old,2.399959244931977
2020,N2O,Commercial,Educational Services,Old,6.061446833754438
2020,N2O,Commercial,Health Care and Social Assistance,Old,3.9378101832194643
2020,N2O,Commercial,Information and Cultural Industries,Old,0.306947121945947
2020,N2O,Commercial,Offices,Old,24.31217655280788
2020,N2O,Commercial,Other Services,Old,2.4344701220121157
2020,N2O,Commercial,Retail Trade,Old,7.5403415600241255
2020,N2O,Commercial,Transportation and Warehousing,Old,1.3977064389292413
2020,N2O,Commercial,Wholesale Trade,Old,4.84358964271041
2020,N2O,Industry,,,15.440190695608742
2020,N2O,Public,Hospital,Old,1.7037780568347873
2020,N2O,Public,Municipality,Old,1.4952867416779763
2020,N2O,Public,Post-Secondary Institution,Old,2.669453293948579
2020,N2O,Public,School board,Old,2.860547589714894
2020,N2O,Residential,Apartments,Old,33.02337802596738
2020,N2O,Residential,Single Attached,Old,15.41824851724757
2020,N2O,Residential,Single Detached,Old,33.98660668227758
2021,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8686799091219233
2021,CH4,Commercial,Accommodation and Food Services,Old,2.1734069144471295
2021,CH4,Commercial,Educational Services,Old,5.442190316501209
2021,CH4,Commercial,Health Care and Social Assistance,Old,3.4837432348371116
2021,CH4,Commercial,Information and Cultural Industries,Old,0.27950912892565327
2021,CH4,Commercial,Offices,Old,18.9457515660048
2021,CH4,Commercial,Other Services,Old,2.2813445526839238
2021,CH4,Commercial,Retail Trade,Old,6.919226120026763
2021,CH4,Commercial,Transportation and Warehousing,Old,1.2363623156615693
2021,CH4,Commercial,Wholesale Trade,Old,4.329662517051373
2021,CH4,Industry,,,16.40806593347593
2021,CH4,Public,Hospital,Old,1.762691053318608
2021,CH4,Public,Municipality,Old,1.6071706673584565
2021,CH4,Public,Post-Secondary Institution,Old,2.8072799292817194
2021,CH4,Public,School board,Old,3.049637565378803
2021,CH4,Residential,Apartments,Old,568.437222830489
2021,CH4,Residential,Single Attached,Old,187.43181423386653
2021,CH4,Residential,Single Detached,Old,370.4982041589895
2021,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94410.82925639079
2021,CO2,Commercial,Accommodation and Food Services,Old,109952.59705221765
2021,CO2,Commercial,Educational Services,Old,279890.9240676206
2021,CO2,Commercial,Health Care and Social Assistance,Old,177547.54927568728
2021,CO2,Commercial,Information and Cultural Industries,Old,13627.267136485212
2021,CO2,Commercial,Offices,Old,986166.811707536
2021,CO2,Commercial,Other Services,Old,115427.24528295892
2021,CO2,Commercial,Retail Trade,Old,355625.9847963133
2021,CO2,Commercial,Transportation and Warehousing,Old,62367.681405065116
