"Transportation sector GHG emissions per subsector, per end use (metric ton)"
t_periods,emissions_comm,Sub,Mode,Tech_type_1,Tech_type_2,Name,Emisions
2019,CO2,Passenger,Road,Cars,___,Auto driver,1635463.0234726523
2019,CO2,Passenger,Road,Cars,___,Auto passenger,206760.95608459943
2019,CO2,Passenger,Road,Cars,___,Paid Ridershare,13000.184107131985
2019,CO2,Passenger,Road,Cars,___,Taxi passenger,22083.147250225535
2019,CO2,Passenger,Road,Motorcycles,___,___,5039.0426055431535
2019,CO2,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,1921344.1016932002
2019,CO2,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,242977.5727426006
2019,CO2,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,15166.858799480486
2019,CO2,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,8312.257650625503
2019,CO2,Public,Marine,___,___,Fleet Services,4.797835528304296
2019,CO2,Public,Marine,___,___,Police Services,0.9145631976503122
2019,CO2,Public,Road,Inter-city Buses,Urban Bus ,Police Services,44.18915761625495
2019,CO2,Public,Road,Cars,___,Fleet Services,484.6597189646754
2019,CO2,Public,Road,Cars,___,Police Services,12513.742880670708
2019,CO2,Public,Road,Cars,___,Toronto Housing Company,2429.1071865154995
2019,CO2,Public,Road,Motorcycles,___,Police Services,34.816463264733
2019,CO2,Public,Road,Truck,Heavy Trucks,Fleet Services,23989.135196302785
2019,CO2,Public,Road,Truck,Passenger Light Trucks,Fleet Services,29496.567329028945
2019,CO2,Public,Road,Truck,Passenger Light Trucks,Police Services,8178.671826058375
2019,CO2,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,1740.2877112158972
2019,CO2,Public,Road,Truck,Medium Trucks,Fleet Services,7540.597372059374
2019,CO2,Public,Road,Truck,Medium Trucks,Police Services,854.966077267425
2019,CO2,Public,Road,Truck,Medium Trucks,Toronto Housing Company,1113.8991383970686
2019,CO2e,Freight Transportation,Air,___,___,,2013.0637955293437
2019,CO2e,Freight Transportation,Marine,___,___,,11292.43164111027
2019,CO2e,Freight Transportation,Rail,___,___,,27866.68732710521
2019,CO2e,Freight Transportation,Road,Truck,Heavy Trucks,,258485.30948275252
2019,CO2e,Freight Transportation,Road,Truck,Passenger Light Trucks,,1054653.0998825673
2019,CO2e,Freight Transportation,Road,Truck,Medium Trucks,,334965.59780945524
2019,CO2e,Long Distance,Air,___,___,,103358.1344996462
2019,CO2e,Long Distance,Rail,___,___,,77468.46794224347
2019,CO2e,Passenger,Rail,Regional,___,GO rail,121980.24197302593
2019,CO2e,Passenger,Rail,Regional,___,Up Express,6155.636263289481
2019,CO2e,Passenger,Rail,Subway,___,Subway,35491.97157216618
2019,CO2e,Passenger,Rail,Tramway,___,Streetcar,5880.540401236947
2019,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,219.3607542927713
2019,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,2768.7982474072783
2019,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,2507.993827123537
2019,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,349.50297067222266
2019,CO2e,Passenger,Road,Inter-city Buses,School Bus,___,5198.393383865888
2019,CO2e,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,240428.69791615932
2019,CO2e,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,22779.904335227708
2019,CO2e,Passenger,Road,Cars,___,Auto driver,1643404.6199729578
2019,CO2e,Passenger,Road,Cars,___,Auto passenger,207765.61003152537
2019,CO2e,Passenger,Road,Cars,___,Paid Ridershare,13063.418845093887
2019,CO2e,Passenger,Road,Cars,___,Taxi passenger,22190.39907803549
2019,CO2e,Passenger,Road,Motorcycles,___,___,5105.0155547534105
2019,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,1930303.68682722
2019,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,244110.89389564891
2019,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,15237.65624205121
2019,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,8351.016480490754
2019,CO2e,Public,Marine,___,___,Fleet Services,4.84276413241981
2019,CO2e,Public,Marine,___,___,Police Services,0.9170255024752205
2019,CO2e,Public,Road,Inter-city Buses,Urban Bus ,Police Services,44.974272775724465
2019,CO2e,Public,Road,Cars,___,Fleet Services,486.79784386755506
2019,CO2e,Public,Road,Cars,___,Police Services,12568.535114275524
2019,CO2e,Public,Road,Cars,___,Toronto Housing Company,2439.7991968058313
2019,CO2e,Public,Road,Motorcycles,___,Police Services,35.27343579702526
2019,CO2e,Public,Road,Truck,Heavy Trucks,Fleet Services,24597.27159769565
2019,CO2e,Public,Road,Truck,Passenger Light Trucks,Fleet Services,29845.75530568383
2019,CO2e,Public,Road,Truck,Passenger Light Trucks,Police Services,8223.275235057674
2019,CO2e,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,1752.34329193502
2019,CO2e,Public,Road,Truck,Medium Trucks,Fleet Services,7697.3665198296185
2019,CO2e,Public,Road,Truck,Medium Trucks,Police Services,876.6806863511891
2019,CO2e,Public,Road,Truck,Medium Trucks,Toronto Housing Company,1125.320053564614
2019,N2O,Freight Transportation,Air,___,___,,0.13087720254580698
2019,N2O,Freight Transportation,Marine,___,___,,0.29117958130990884
2019,N2O,Freight Transportation,Rail,___,___,,8.73311538726414
2019,N2O,Freight Transportation,Road,Truck,Heavy Trucks,,20.41406761592446
2019,N2O,Freight Transportation,Road,Truck,Passenger Light Trucks,,30.51315558470695
2019,N2O,Freight Transportation,Road,Truck,Medium Trucks,,25.232309823874665
2019,N2O,Long Distance,Air,___,___,,3.455891096476755
2019,N2O,Long Distance,Rail,___,___,,26.62657370628635
2019,N2O,Passenger,Rail,Regional,___,GO rail,40.85248152712953
2019,N2O,Passenger,Rail,Regional,___,Up Express,2.04421757188072
2019,N2O,Passenger,Rail,Subway,___,Subway,0.29021007737133253
2019,N2O,Passenger,Rail,Tramway,___,Streetcar,0.28234214620447545
2019,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,0.012643847857951645
2019,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,0.1567236819255935
2019,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,0.14196881276929096
2019,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,0.020213677478628036
2019,N2O,Passenger,Road,Inter-city Buses,School Bus,___,0.29810317504046313
2019,N2O,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,13.399425259146971
2019,N2O,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,1.273677426707362
2019,N2O,Passenger,Road,Cars,___,Auto driver,18.55463149439406
2019,N2O,Passenger,Road,Cars,___,Auto passenger,2.3466504452004964
2019,N2O,Passenger,Road,Cars,___,Paid Ridershare,0.14754584996248596
2019,N2O,Passenger,Road,Cars,___,Taxi passenger,0.2506131765638461
2019,N2O,Passenger,Road,Motorcycles,___,___,0.09528289861635132
2019,N2O,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,21.2424500793887
2019,N2O,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,2.6870864132150594
2019,N2O,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,0.1678960390576623
2019,N2O,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,0.09184640660188834
2019,N2O,Public,Marine,___,___,Fleet Services,0.0001211285664763322
2019,N2O,Public,Marine,___,___,Police Services,6.638431341024675e-06
2019,N2O,Public,Road,Inter-city Buses,Urban Bus ,Police Services,0.002505969160627272
2019,N2O,Public,Road,Cars,___,Fleet Services,0.004968693229154181
2019,N2O,Public,Road,Cars,___,Police Services,0.1271383402312925
2019,N2O,Public,Road,Cars,___,Toronto Housing Company,0.02483514810668934
2019,N2O,Public,Road,Motorcycles,___,Police Services,0.0006599927738217868
2019,N2O,Public,Road,Truck,Heavy Trucks,Fleet Services,1.9972235068843263
2019,N2O,Public,Road,Truck,Passenger Light Trucks,Fleet Services,1.066323512588951
2019,N2O,Public,Road,Truck,Passenger Light Trucks,Police Services,0.11358206737513679
2019,N2O,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,0.03305253206780641
2019,N2O,Public,Road,Truck,Medium Trucks,Fleet Services,0.5075527718573366
2019,N2O,Public,Road,Truck,Medium Trucks,Police Services,0.07114475349766691
2019,N2O,Public,Road,Truck,Medium Trucks,Toronto Housing Company,0.0340385634131214
2020,CH4,Freight Transportation,Air,___,___,,0.1860797444851469
2020,CH4,Freight Transportation,Marine,___,___,,1.033356046263308
2020,CH4,Freight Transportation,Rail,___,___,,1.3273067229544138
2020,CH4,Freight Transportation,Road,Truck,Heavy Trucks,,6.027573272398493
2020,CH4,Freight Transportation,Road,Truck,Passenger Light Trucks,,68.85060255584023
2020,CH4,Freight Transportation,Road,Truck,Medium Trucks,,8.629336734732846
2020,CH4,Long Distance,Air,___,___,,3.1926770846755197
2020,CH4,Long Distance,Rail,___,___,,4.14927670813244
2020,CH4,Passenger,Rail,Regional,___,GO rail,5.963873587708795
2020,CH4,Passenger,Rail,Regional,___,Up Express,0.3093013386828848
2020,CH4,Passenger,Rail,Subway,___,Subway,125.68306288449014
2020,CH4,Passenger,Rail,Tramway,___,Streetcar,19.135344617169515
2020,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,0.009377089208075645
2020,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,0.1145595973781929
2020,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,0.10516206523010742
2020,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,0.014637256508064413
2020,CH4,Passenger,Road,Inter-city Buses,School Bus,___,1.1157033958241485
2020,CH4,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,9.99180971606824
2020,CH4,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,1.2049675963334265
2020,CH4,Passenger,Road,Cars,___,Auto driver,106.48225243650135
2020,CH4,Passenger,Road,Cars,___,Auto passenger,13.46610743370639
2020,CH4,Passenger,Road,Cars,___,Paid Ridershare,0.852388940517657
2020,CH4,Passenger,Road,Cars,___,Taxi passenger,1.4275043907283902
2020,CH4,Passenger,Road,Motorcycles,___,___,1.7064095448675614
2020,CH4,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,118.55157493474033
2020,CH4,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,14.98672581883182
2020,CH4,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,0.9332022383219704
2020,CH4,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,0.5120579383919748
2020,CH4,Public,Marine,___,___,Fleet Services,0.00043350975635633694
2020,CH4,Public,Marine,___,___,Police Services,2.375842711526969e-05
2020,CH4,Public,Road,Inter-city Buses,Urban Bus ,Police Services,0.0018803615333486596
2020,CH4,Public,Road,Cars,___,Fleet Services,0.03238819348886188
2020,CH4,Public,Road,Cars,___,Police Services,0.8323078163149135
2020,CH4,Public,Road,Cars,___,Toronto Housing Company,0.16211592801963437
2020,CH4,Public,Road,Motorcycles,___,Police Services,0.012838587918754103
2020,CH4,Public,Road,Truck,Heavy Trucks,Fleet Services,0.6190439483499358
2020,CH4,Public,Road,Truck,Passenger Light Trucks,Fleet Services,1.5412348997668537
2020,CH4,Public,Road,Truck,Passenger Light Trucks,Police Services,0.52727467105422
2020,CH4,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,0.10804149714672917
2020,CH4,Public,Road,Truck,Medium Trucks,Fleet Services,0.26861645449257243
