GHG emissions per subsector per period (metric ton)
t_periods,emissions_comm,sector,Emisions
2030,CO2e,Long distance transportation,57798.19255095544
2030,CO2e,Passenger transportation,2060405.3651277567
2030,CO2e,Public building,233680.96207784297
2030,CO2e,Public transportation,39957.95281444715
2030,CO2e,Residential building,1963554.780049942
2030,CO2e,Solid waste,318683.8019473586
2030,CO2e,Trade energy,1020849.0904618319
2030,CO2e,Water waste,53857.09549611007
2030,N2O,Commercial building,33.997570390505345
2030,N2O,District Energy,5.4482855272847575
2030,N2O,Freight transportation,47.66283304394444
2030,N2O,Industrial building,36.304244244835324
2030,N2O,Long distance transportation,46.76544984586082
2030,N2O,Passenger transportation,94.92669337603265
2030,N2O,Public building,6.033271751230739
2030,N2O,Public transportation,4.0638720769326815
2030,N2O,Residential building,42.7067678236608
2030,N2O,Solid waste,0.011448301010018886
2030,N2O,Water waste,109.88832266128168
2035,CH4,Commercial building,23.68865997317294
2035,CH4,District Energy,4.246834598290036
2035,CH4,Freight transportation,14.058819025947141
2035,CH4,Industrial building,56.92680492538092
2035,CH4,Long distance transportation,11.720794791485032
2035,CH4,Passenger transportation,765.7624485789378
2035,CH4,Public building,4.13839361244759
2035,CH4,Public transportation,30.94308792470108
2035,CH4,Residential building,302.59996917183776
2035,CH4,Solid waste,10529.17024915833
2035,CH4,Water waste,1.6423797948942118
2035,CO2,Commercial building,917426.4514459502
2035,CO2,District Energy,5653.308251439189
2035,CO2,Freight transportation,210767.80502773757
2035,CO2,Industrial building,202824.79004904415
2035,CO2,Long distance transportation,341.05681617609054
2035,CO2,Passenger transportation,543203.6757916474
2035,CO2,Public building,151148.3215288135
2035,CO2,Public transportation,17477.40844504846
2035,CO2,Residential building,994297.5709834921
2035,CO2,Solid waste,7920.136195005862
2035,CO2,Water waste,108995.40128150197
2035,CO2e,Commercial building,925313.4700322144
2035,CO2e,District Energy,6939.640017467198
2035,CO2e,Freight transportation,216141.43107600813
2035,CO2e,Industrial building,216185.46863777903
2035,CO2e,Long distance transportation,17162.533302332005
2035,CO2e,Passenger transportation,568687.9973542846
2035,CO2e,Public building,152411.57058175682
2035,CO2e,Public transportation,18720.68180312731
2035,CO2e,Residential building,1007165.5990090348
2035,CO2e,Solid waste,258034.03311027124
2035,CO2e,Trade energy,757983.9056593132
2035,CO2e,Water waste,55110.731193049556
2035,N2O,Commercial building,24.79717022425115
2035,N2O,District Energy,4.017275971355438
2035,N2O,Freight transportation,17.00042751036256
2035,N2O,Industrial building,40.822871427187366
2035,N2O,Long distance transportation,55.621945622599746
2035,N2O,Passenger transportation,31.55473202174033
2035,N2O,Public building,3.947459017053204
2035,N2O,Public transportation,1.9915050726850307
2035,N2O,Residential building,21.857143197764497
2035,N2O,Solid waste,0.004528046581459111
2035,N2O,Water waste,112.43331993002464
2040,CH4,Commercial building,10.466975286863034
2040,CH4,District Energy,13.860207312489603
2040,CH4,Freight transportation,1.5969093765387412
2040,CH4,Industrial building,0.9731483995432667
2040,CH4,Long distance transportation,12.343877895685214
2040,CH4,Passenger transportation,41.02562327263058
2040,CH4,Public building,0.36895384857202534
2040,CH4,Public transportation,23.763437196399142
2040,CH4,Residential building,1.2563198167614662
2040,CH4,Solid waste,8508.139590438448
2040,CH4,Water waste,1.6778042138695228
2040,CO2,Commercial building,534121.1431329874
2040,CO2,Freight transportation,149.0727412972113
2040,CO2,Industrial building,14545.889742622026
2040,CO2,Long distance transportation,328.5840299608255
2040,CO2,Passenger transportation,16748.347948894614
2040,CO2,Public building,18835.675367552994
2040,CO2,Public transportation,821.950427868099
2040,CO2,Residential building,63656.80438499749
2040,CO2,Solid waste,7848.458296011644
2040,CO2,Water waste,111693.96466538352
2040,CO2e,Commercial building,537293.4882323818
2040,CO2e,District Energy,4198.1444148938135
2040,CO2e,Freight transportation,769.3611988722225
2040,CO2e,Industrial building,14790.400727799777
2040,CO2e,Long distance transportation,18080.073733793706
2040,CO2e,Passenger transportation,34391.82769919005
2040,CO2e,Public building,18948.221851522583
2040,CO2e,Public transportation,2652.191767765979
2040,CO2e,Residential building,64037.32391338078
2040,CO2e,Solid waste,216867.25807565817
2040,CO2e,Trade energy,1231545.0181714727
2040,CO2e,Water waste,56303.837487996425
2040,N2O,Commercial building,9.907847712653673
2040,N2O,District Energy,13.111006917219907
2040,N2O,Freight transportation,2.0378772617762855
2040,N2O,Industrial building,0.7519290898903982
2040,N2O,Long distance transportation,58.69888680544793
2040,N2O,Passenger transportation,56.31524047506761
2040,N2O,Public building,0.35167266157576554
2040,N2O,Public transportation,4.467144828098986
2040,N2O,Residential building,1.1883785645345497
2040,N2O,Solid waste,0.005293278499931153
2040,N2O,Water waste,114.84978576918661
2045,CH4,Commercial building,8.9916121093172
2045,CH4,District Energy,12.857933388552988
2045,CH4,Freight transportation,1.6240982779885162
2045,CH4,Industrial building,0.7756162970794801
2045,CH4,Long distance transportation,12.685653317325809
2045,CH4,Passenger transportation,9.625570361445787
2045,CH4,Public building,0.6746341331904153
2045,CH4,Public transportation,2.211198627184872
2045,CH4,Residential building,1.653619661064532
2045,CH4,Solid waste,6613.9255012410085
2045,CH4,Water waste,1.7154861098350858
2045,CO2,Commercial building,458840.40857996716
2045,CO2,Freight transportation,177.76143426224303
2045,CO2,Industrial building,182.47643782792727
2045,CO2,Long distance transportation,355.189780794853
2045,CO2,Passenger transportation,271.84435646943086
2045,CO2,Public building,34435.10490129119
2045,CO2,Public transportation,797.4088831911032
2045,CO2,Residential building,83923.45498600986
2045,CO2,Solid waste,87.41708059826465
2045,CO2,Water waste,114572.50443804769
2045,CO2e,Commercial building,461566.1094557277
2045,CO2e,District Energy,3894.563769878738
2045,CO2e,Freight transportation,810.7933679856274
2045,CO2e,Industrial building,360.9863061840667
2045,CO2e,Long distance transportation,18820.800172209503
2045,CO2e,Passenger transportation,18895.377771336414
2045,CO2e,Public building,34640.3688118353
2045,CO2e,Public transportation,2476.8675043834933
2045,CO2e,Residential building,84424.32279098169
2045,CO2e,Solid waste,170808.4389438506
2045,CO2e,Trade energy,1145612.0559082027
2045,CO2e,Water waste,57576.35467218244
2045,N2O,Commercial building,8.513010139142414
2045,N2O,District Energy,12.162909962144715
2045,N2O,Freight transportation,2.07982780371461
2045,N2O,Industrial building,0.5443688795888265
2045,N2O,Long distance transportation,61.07118010654634
2045,N2O,Passenger transportation,61.81676656804235
2045,N2O,Public building,0.6412637374064718
2045,N2O,Public transportation,5.4799444631594225
2045,N2O,Residential building,1.5642342016426094
2045,N2O,Solid waste,0.005714861709806274
2045,N2O,Water waste,117.42764635114293
2050,CH4,Commercial building,2.506454410366887
2050,CH4,District Energy,13.55331172569449
2050,CH4,Freight transportation,2.2321068484121676
2050,CH4,Industrial building,1.5588742715679762
2050,CH4,Long distance transportation,12.724437682047332
2050,CH4,Passenger transportation,10.753077670061412
2050,CH4,Public building,1.2100314240202024
2050,CH4,Public transportation,0.9439709872423436
2050,CH4,Residential building,1.6386961621315022
2050,CH4,Solid waste,5348.632181009536
2050,CH4,Water waste,1.7526053063624991
2050,CO2,Commercial building,158219.90156073825
2050,CO2,Freight transportation,10551.243644739254
2050,CO2,Industrial building,37559.9028253874
