"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,Sector,EndUse,Tech_type_1,Energy_cat,Efficiency,Emisions
2017,N2O,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.16367851127523353
2017,N2O,Commercial,Building,Space Heating,Furnace,Natural Gas,High,0.005736580546380159
2017,N2O,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,33.69784256324842
2017,N2O,Commercial,Building,Space Heating,Furnace,Propane,Standard,3.475825573436745
2017,N2O,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.009205155172179872
2017,N2O,Commercial,Building,Water Heating,___,Kerosene,Standard,0.0050292825857878205
2017,N2O,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,0.1895068680060746
2017,N2O,Commercial,Building,Water Heating,___,Natural Gas,Standard,5.3850388230429616
2017,N2O,Commercial,Building,Water Heating,___,Propane,Standard,0.44106537801752443
2017,N2O,Industry,Building,Industrial Processes,Self produced,Mix Energy,,11.43656297139884
2017,N2O,Industry,Building,Space Cooling,Self produced,Mix Energy,,0.02711940326552198
2017,N2O,Industry,Building,Space Heating,Self produced,Mix Energy,,0.8080082882565275
2017,N2O,Industry,Building,Water Heating,Self produced,Mix Energy,,3.115001696194547
2017,N2O,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,0.34538402057679535
2017,N2O,Public,Building,Space Cooling,___,Natural Gas,Standard,0.20283050153562804
2017,N2O,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.2753156023836587
2017,N2O,Public,Building,Space Heating,Furnace,Natural Gas,High,5.45259543389968e-06
2017,N2O,Public,Building,Space Heating,Furnace,Natural Gas,Standard,6.539911331304186
2017,N2O,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.0012984928569707197
2017,N2O,Public,Building,Water Heating,___,Kerosene,Standard,0.0007094138235864076
2017,N2O,Public,Building,Water Heating,___,Light Fuel Oil,Standard,0.018501448740675448
2017,N2O,Public,Building,Water Heating,___,Natural Gas,Standard,0.9462530801832403
2017,N2O,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,0.1245915835524569
