regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2,SLDWASNGA,SLDWASLDFBWBUPPUBSTDMENE_17,2026,SEESLDWASLDFBWBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFKVBUPPUBSTDMENE_23,2026,SEESLDWASLDFKVBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFKVBUPPUBSTDMENE_21,2026,SEESLDWASLDFKVBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFKVBUPPUBSTDMENE_17,2026,SEESLDWASLDFKVBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_23,2026,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_21,2026,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_17,2026,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_23,2026,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_21,2026,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_17,2026,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
