regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2023,COMBDGEDSOldSHHEP___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHPLT___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHPLT1000WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHPLT1500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHPLT500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSLLED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWH______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWH______STDHFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWH______STDKER_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWH______STDLFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWH______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWH______STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWHSYS___STDBMA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWHSYS___STDBWP_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWHSYS___STDHFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWHSYS___STDKER_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldWHSYS___STDLFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAE______STDBMA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAE______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAE______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAE______STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAE______STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAE______STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldAM______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIFLC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIFLC___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIFLU___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIFLUT5STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIFLUT8STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIHAL___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIHAL100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIINC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLIINC100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLILED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldLILED___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSC______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSC______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSCCE___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSCCE___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSCWA___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSCWD___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDHFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDHFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDKER_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDKER_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDLFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDLFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFUR___STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFURLARSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFURMEDSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHFURSMASTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHHEP___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHHEP___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHPLT___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHPLT1000WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHPLT1500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSHPLT500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGHLCOldSLLED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
