regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2040,RESBDGSDEOldWHSYS___STDBWP_23,0,,
TO,2040,RESBDGSDEOldWHSYS___STDKER_23,0,,
TO,2040,RESBDGSDEOldWHSYS___STDLFO_23,0,,
TO,2040,RESBDGSDEOldWHSYS___STDPRO_23,0,,
TO,2040,RESBDGSDEOldWHWTK___ESRNGA_23,0,,
TO,2040,RESBDGSDEOldWHWTK___HIGELC_23,0,,
TO,2040,RESBDGSDEOldWHWTK___HIGNGA_23,0,,
TO,2040,RESBDGSDEOldWHWTK___STDELC_23,0,,
TO,2040,RESBDGSDEOldWHWTK___STDNGA_23,0,,
TO,2041,RESBDGAPANewSHBOI___STDHH2_23,0,,
TO,2041,RESBDGAPANewSHFIR___HIGPRO_23,0,,
TO,2041,RESBDGAPANewSHFIR___STDPRO_23,0,,
TO,2041,RESBDGAPANewSHFUR___ESRNGA_23,0,,
TO,2041,RESBDGAPANewSHFUR___ESRPRO_23,0,,
TO,2041,RESBDGAPANewSHFUR___HIGLFO_23,0,,
TO,2041,RESBDGAPANewSHFUR___HIGNGA_16,0,,
TO,2041,RESBDGAPANewSHFUR___HIGNGA_23,0,,
TO,2041,RESBDGAPANewSHFUR___HIGPRO_23,0,,
TO,2041,RESBDGAPANewSHFUR___MEDNGA_16,0,,
TO,2041,RESBDGAPANewSHFUR___STDBMA_16,0,,
TO,2041,RESBDGAPANewSHFUR___STDBWP_16,0,,
TO,2041,RESBDGAPANewSHFUR___STDELC_23,0,,
TO,2041,RESBDGAPANewSHFUR___STDKER_16,0,,
TO,2041,RESBDGAPANewSHFUR___STDKER_23,0,,
TO,2041,RESBDGAPANewSHFUR___STDLFO_16,0,,
TO,2041,RESBDGAPANewSHFUR___STDLFO_23,0,,
TO,2041,RESBDGAPANewSHFUR___STDNGA_23,0,,
TO,2041,RESBDGAPANewSHFUR___STDPRO_16,0,,
TO,2041,RESBDGAPANewSHFUR___STDPRO_23,0,,
TO,2041,RESBDGAPANewSHHEP___STDNGA_23,0,,
TO,2041,RESBDGAPANewSHPLT___STDELC_16,0,,
TO,2041,RESBDGAPANewSHPLT1000WSTDELC_23,0,,
TO,2041,RESBDGAPANewSHPLT1500WSTDELC_23,0,,
TO,2041,RESBDGAPANewSHPLT500WSTDELC_23,0,,
TO,2041,RESBDGAPANewSHPST___HIGBWP_23,0,,
TO,2041,RESBDGAPANewSHPST___STDBWP_23,0,,
TO,2041,RESBDGAPANewSHSTV___HIGBMA_23,0,,
TO,2041,RESBDGAPANewSHSTV___STDBMA_23,0,,
TO,2041,RESBDGAPANewWH______STDBMA_16,0,,
TO,2041,RESBDGAPANewWH______STDBWP_16,0,,
TO,2041,RESBDGAPANewWH______STDELC_16,0,,
TO,2041,RESBDGAPANewWH______STDKER_16,0,,
TO,2041,RESBDGAPANewWH______STDLFO_16,0,,
TO,2041,RESBDGAPANewWH______STDNGA_16,0,,
TO,2041,RESBDGAPANewWH______STDPRO_16,0,,
TO,2041,RESBDGAPANewWHSTHBCKSTDELC_23,0,,
TO,2041,RESBDGAPANewWHSTHBCKSTDNGA_23,0,,
TO,2041,RESBDGAPANewWHSYS___STDBMA_23,0,,
TO,2041,RESBDGAPANewWHSYS___STDBWP_23,0,,
TO,2041,RESBDGAPANewWHSYS___STDKER_23,0,,
TO,2041,RESBDGAPANewWHSYS___STDLFO_23,0,,
TO,2041,RESBDGAPANewWHSYS___STDPRO_23,0,,
TO,2041,RESBDGAPANewWHWTK___ESRNGA_23,0,,
TO,2041,RESBDGAPANewWHWTK___HIGELC_23,0,,
TO,2041,RESBDGAPANewWHWTK___HIGNGA_23,0,,
TO,2041,RESBDGAPANewWHWTK___STDELC_23,0,,
TO,2041,RESBDGAPANewWHWTK___STDNGA_23,0,,
TO,2041,RESBDGAPAOldSHBOI___STDHH2_23,0,,
TO,2041,RESBDGAPAOldSHFIR___HIGPRO_23,0,,
TO,2041,RESBDGAPAOldSHFIR___STDPRO_23,0,,
TO,2041,RESBDGAPAOldSHFUR___ESRNGA_23,0,,
TO,2041,RESBDGAPAOldSHFUR___ESRPRO_23,0,,
TO,2041,RESBDGAPAOldSHFUR___HIGLFO_23,0,,
TO,2041,RESBDGAPAOldSHFUR___HIGNGA_16,0,,
TO,2041,RESBDGAPAOldSHFUR___HIGNGA_23,0,,
