regions,tech,c2a,c2a_notes
TO,COMBDGOTSOldSHFUR___STDNGA_EX,31.536,CommercialBuildingOther ServicesOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGWSTOldSHFUR___STDLFO_EX,31.536,CommercialBuildingWholesale TradeOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGRTTOldSHFUR___STDLFO_EX,31.536,CommercialBuildingRetail TradeOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGTAWOldSHFUR___STDLFO_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGICIOldSHFUR___STDLFO_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGOFFOldSHFUR___STDLFO_EX,31.536,CommercialBuildingOfficesOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGEDSOldSHFUR___STDLFO_EX,31.536,CommercialBuildingEducational ServicesOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGHLCOldSHFUR___STDLFO_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGAEROldSHFUR___STDLFO_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil"
TO,COMBDGAFSOldSHFUR___STDLFO_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGOTSOldSHFUR___STDLFO_EX,31.536,CommercialBuildingOther ServicesOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,COMBDGWSTOldSH_________DHE_EX,31.536,CommercialBuildingWholesale TradeOldSpace HeatingDistrict Heating
TO,COMBDGRTTOldSH_________DHE_EX,31.536,CommercialBuildingRetail TradeOldSpace HeatingDistrict Heating
TO,COMBDGTAWOldSH_________DHE_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace HeatingDistrict Heating
TO,COMBDGICIOldSH_________DHE_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace HeatingDistrict Heating
TO,COMBDGOFFOldSH_________DHE_EX,31.536,CommercialBuildingOfficesOldSpace HeatingDistrict Heating
TO,COMBDGEDSOldSH_________DHE_EX,31.536,CommercialBuildingEducational ServicesOldSpace HeatingDistrict Heating
TO,COMBDGHLCOldSH_________DHE_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace HeatingDistrict Heating
TO,COMBDGAEROldSH_________DHE_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace HeatingDistrict Heating"
TO,COMBDGAFSOldSH_________DHE_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace HeatingDistrict Heating
TO,COMBDGOTSOldSH_________DHE_EX,31.536,CommercialBuildingOther ServicesOldSpace HeatingDistrict Heating
TO,COMBDGWSTOldSHFUR___STDPRO_EX,31.536,CommercialBuildingWholesale TradeOldSpace HeatingFurnaceStandard EfficiencyPropane
TO,COMBDGRTTOldSHFUR___STDPRO_EX,31.536,CommercialBuildingRetail TradeOldSpace HeatingFurnaceStandard EfficiencyPropane
TO,COMBDGTAWOldSHFUR___STDPRO_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace HeatingFurnaceStandard EfficiencyPropane
