regions,season_name,time_of_day_name,demand_name,dds,dds_notes
TO,S,D,ADEMPUBBDGPSIOldLI,0.09308913155576494,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldLighting
TO,S,D,ADEMPUBBDGSBDOldLI,0.09308913155576494,Aggregated DemandPublicBuildingSchool boardOldLighting
TO,S,D,ADEMPUBBDGHSPOldSC,0.1695319089464912,Aggregated DemandPublicBuildingHospitalOldSpace Cooling
TO,S,D,ADEMPUBBDGMUNOldSC,0.1695319089464912,Aggregated DemandPublicBuildingMunicipalityOldSpace Cooling
TO,S,D,ADEMPUBBDGPSIOldSC,0.1695319089464912,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Cooling
TO,S,D,ADEMPUBBDGSBDOldSC,0.1695319089464912,Aggregated DemandPublicBuildingSchool boardOldSpace Cooling
TO,S,D,ADEMPUBBDGHSPOldAM,0.06360123248720184,Aggregated DemandPublicBuildingHospitalOldAuxiliary Motors
TO,S,D,ADEMPUBBDGMUNOldAM,0.06360123248720184,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Motors
TO,S,D,ADEMPUBBDGPSIOldAM,0.06360123248720184,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Motors
TO,S,D,ADEMPUBBDGSBDOldAM,0.06360123248720184,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Motors
TO,S,D,ADEMPUBBDGHSPOldAE,0.07800949703948577,Aggregated DemandPublicBuildingHospitalOldAuxiliary Equipment
TO,S,D,ADEMPUBBDGMUNOldAE,0.07800949703948577,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Equipment
TO,S,D,ADEMPUBBDGPSIOldAE,0.07800949703948577,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Equipment
TO,S,D,ADEMPUBBDGSBDOldAE,0.07800949703948577,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Equipment
TO,S,D,ADEMPUBBDGHSPOldSH,0.003915810324023932,Aggregated DemandPublicBuildingHospitalOldSpace Heating
TO,S,D,ADEMPUBBDGMUNOldSH,0.003915810324023932,Aggregated DemandPublicBuildingMunicipalityOldSpace Heating
