"Discounted and undiscounted Cost breakdown, per subsectors, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Costs
2016,Public building,Undiscounted,InvestmentCosts,0.0
2016,Public transportation,Discounted,FixedCosts,25.714555202469025
2016,Public transportation,Discounted,FixedSubsidies,0.0
2016,Public transportation,Discounted,InvestmentCosts,0.0
2016,Public transportation,Undiscounted,FixedCosts,31.308597440404633
2016,Public transportation,Undiscounted,FixedSubsidies,0.0
2016,Public transportation,Undiscounted,InvestmentCosts,0.0
2016,Residential building,Discounted,FixedCosts,19406.811864670937
2016,Residential building,Discounted,FixedSubsidies,0.0
2016,Residential building,Discounted,InvestmentCosts,215.61350160881094
2016,Residential building,Undiscounted,FixedCosts,24488.60726893303
2016,Residential building,Undiscounted,FixedSubsidies,0.0
2016,Residential building,Undiscounted,InvestmentCosts,189.49347445837526
2016,Water waste,Discounted,FixedCosts,3379.487132278399
2016,Water waste,Discounted,FixedSubsidies,0.0
2016,Water waste,Discounted,InvestmentCosts,0.0
2016,Water waste,Undiscounted,FixedCosts,5188.247561651403
2016,Water waste,Undiscounted,FixedSubsidies,0.0
2016,Water waste,Undiscounted,InvestmentCosts,0.0
2017,Commercial building,Discounted,FixedCosts,3854.7022182723845
2017,Commercial building,Discounted,FixedSubsidies,0.0
2017,Commercial building,Discounted,InvestmentCosts,0.0
2017,Commercial building,Undiscounted,FixedCosts,5080.93937690311
2017,Commercial building,Undiscounted,FixedSubsidies,0.0
2017,Commercial building,Undiscounted,InvestmentCosts,0.0
2017,Freight transportation,Discounted,FixedCosts,12402.80299608229
2017,Freight transportation,Discounted,FixedSubsidies,0.0
2017,Freight transportation,Discounted,InvestmentCosts,0.0
2017,Freight transportation,Undiscounted,FixedCosts,15588.682851072062
2017,Freight transportation,Undiscounted,FixedSubsidies,0.0
2017,Freight transportation,Undiscounted,InvestmentCosts,0.0
2017,Long distance transportation,Discounted,FixedCosts,519.2050506624541
2017,Long distance transportation,Discounted,FixedSubsidies,0.0
2017,Long distance transportation,Discounted,InvestmentCosts,0.0
2017,Long distance transportation,Undiscounted,FixedCosts,747.6131745982652
2017,Long distance transportation,Undiscounted,FixedSubsidies,0.0
2017,Long distance transportation,Undiscounted,InvestmentCosts,0.0
2017,Passenger transportation,Discounted,FixedCosts,60203.2476473029
2017,Passenger transportation,Discounted,FixedSubsidies,0.0
2017,Passenger transportation,Discounted,InvestmentCosts,0.0
2017,Passenger transportation,Discounted,VariableCosts,2.630469800515857
2017,Passenger transportation,Discounted,VariableSubsidies,0.0
2017,Passenger transportation,Undiscounted,FixedCosts,75690.68939560192
2017,Passenger transportation,Undiscounted,FixedSubsidies,0.0
2017,Passenger transportation,Undiscounted,InvestmentCosts,0.0
2017,Passenger transportation,Undiscounted,VariableCosts,3.2553174015121247
2017,Passenger transportation,Undiscounted,VariableSubsidies,0.0
2017,Public building,Discounted,FixedCosts,2558.5622148103157
2017,Public building,Discounted,FixedSubsidies,0.0
2017,Public building,Discounted,InvestmentCosts,0.0
2017,Public building,Undiscounted,FixedCosts,3462.821911136536
2017,Public building,Undiscounted,FixedSubsidies,0.0
