regions,tech,c2a,c2a_notes
TO,PUBBDGELCIMP17,1,PublicBuildingElectricityImport17
TO,PUBBDGELCIMP18,1,PublicBuildingElectricityImport18
TO,PUBBDGELCIMP19,1,PublicBuildingElectricityImport19
TO,PUBBDGELCIMP20,1,PublicBuildingElectricityImport20
TO,PUBBDGELCIMP21,1,PublicBuildingElectricityImport21
TO,PUBBDGELCIMP22,1,PublicBuildingElectricityImport22
TO,PUBBDGELCIMP23,1,PublicBuildingElectricityImport23
TO,PUBBDGELCIMP24,1,PublicBuildingElectricityImport24
TO,PUBBDGELCIMP25,1,PublicBuildingElectricityImport25
TO,PUBBDGELCIMP26,1,PublicBuildingElectricityImport26
TO,PUBBDGELCIMP27,1,PublicBuildingElectricityImport27
TO,PUBBDGELCIMP28,1,PublicBuildingElectricityImport28
TO,PUBBDGELCIMP29,1,PublicBuildingElectricityImport29
TO,PUBBDGELCIMP30,1,PublicBuildingElectricityImport30
TO,PUBBDGELCIMP31,1,PublicBuildingElectricityImport31
TO,PUBBDGELCIMP32,1,PublicBuildingElectricityImport32
TO,PUBBDGELCIMP33,1,PublicBuildingElectricityImport33
TO,PUBBDGELCIMP34,1,PublicBuildingElectricityImport34
TO,PUBBDGELCIMP35,1,PublicBuildingElectricityImport35
TO,PUBBDGELCIMP36,1,PublicBuildingElectricityImport36
TO,PUBBDGELCIMP37,1,PublicBuildingElectricityImport37
TO,PUBBDGELCIMP38,1,PublicBuildingElectricityImport38
TO,PUBBDGELCIMP39,1,PublicBuildingElectricityImport39
TO,PUBBDGELCIMP40,1,PublicBuildingElectricityImport40
TO,PUBBDGELCIMP41,1,PublicBuildingElectricityImport41
TO,PUBBDGELCIMP42,1,PublicBuildingElectricityImport42
TO,PUBBDGELCIMP43,1,PublicBuildingElectricityImport43
TO,PUBBDGELCIMP44,1,PublicBuildingElectricityImport44
TO,PUBBDGELCIMP45,1,PublicBuildingElectricityImport45
TO,PUBBDGELCIMP46,1,PublicBuildingElectricityImport46
TO,PUBBDGELCIMP47,1,PublicBuildingElectricityImport47
TO,PUBBDGELCIMP48,1,PublicBuildingElectricityImport48
TO,PUBBDGELCIMP49,1,PublicBuildingElectricityImport49
TO,PUBBDGELCIMP50,1,PublicBuildingElectricityImport50
TO,PUBBDGETHOSIMP,1,PublicBuildingDummyImport
TO,PUBBDGHH2EXP,1,PublicBuildingHydrogenExport
TO,PUBBDGBMTNEXP,1,PublicBuildingBio MethaneExport
TO,INDBDGNGAIMP,1,IndustrialBuildingNatural GasImport
TO,INDBDGBMTNIMP,1,IndustrialBuildingBio MethaneImport
TO,INDBDGHH2IMP,1,IndustrialBuildingHydrogenImport
TO,INDBDGLFOIMP,1,IndustrialBuildingLight Fuel OilImport
TO,INDBDGHFOIMP,1,IndustrialBuildingHeavy Fuel OilImport
TO,INDBDGPCOKIMP,1,IndustrialBuildingPetcokeImport
TO,INDBDGPROIMP,1,IndustrialBuildingPropaneImport
TO,INDBDGCOAIMP,1,IndustrialBuildingCoalImport
TO,INDBDGCOKIMP,1,IndustrialBuildingCokeImport
TO,INDBDGBMAIMP,1,IndustrialBuildingBiomassImport
TO,INDBDGELCIMP16,1,IndustrialBuildingElectricityImport16
TO,INDBDGELCIMP17,1,IndustrialBuildingElectricityImport17
TO,INDBDGELCIMP18,1,IndustrialBuildingElectricityImport18
TO,INDBDGELCIMP19,1,IndustrialBuildingElectricityImport19
TO,INDBDGELCIMP20,1,IndustrialBuildingElectricityImport20
TO,INDBDGELCIMP21,1,IndustrialBuildingElectricityImport21
TO,INDBDGELCIMP22,1,IndustrialBuildingElectricityImport22
TO,INDBDGELCIMP23,1,IndustrialBuildingElectricityImport23
TO,INDBDGELCIMP24,1,IndustrialBuildingElectricityImport24
TO,INDBDGELCIMP25,1,IndustrialBuildingElectricityImport25
TO,INDBDGELCIMP26,1,IndustrialBuildingElectricityImport26
TO,INDBDGELCIMP27,1,IndustrialBuildingElectricityImport27
TO,INDBDGELCIMP28,1,IndustrialBuildingElectricityImport28
TO,INDBDGELCIMP29,1,IndustrialBuildingElectricityImport29
TO,INDBDGELCIMP30,1,IndustrialBuildingElectricityImport30
TO,INDBDGELCIMP31,1,IndustrialBuildingElectricityImport31
TO,INDBDGELCIMP32,1,IndustrialBuildingElectricityImport32
TO,INDBDGELCIMP33,1,IndustrialBuildingElectricityImport33
TO,INDBDGELCIMP34,1,IndustrialBuildingElectricityImport34
TO,INDBDGELCIMP35,1,IndustrialBuildingElectricityImport35
TO,INDBDGELCIMP36,1,IndustrialBuildingElectricityImport36
TO,INDBDGELCIMP37,1,IndustrialBuildingElectricityImport37
TO,INDBDGELCIMP38,1,IndustrialBuildingElectricityImport38
TO,INDBDGELCIMP39,1,IndustrialBuildingElectricityImport39
TO,INDBDGELCIMP40,1,IndustrialBuildingElectricityImport40
TO,INDBDGELCIMP41,1,IndustrialBuildingElectricityImport41
TO,INDBDGELCIMP42,1,IndustrialBuildingElectricityImport42
TO,INDBDGELCIMP43,1,IndustrialBuildingElectricityImport43
TO,INDBDGELCIMP44,1,IndustrialBuildingElectricityImport44
TO,INDBDGELCIMP45,1,IndustrialBuildingElectricityImport45
TO,INDBDGELCIMP46,1,IndustrialBuildingElectricityImport46
TO,INDBDGELCIMP47,1,IndustrialBuildingElectricityImport47
TO,INDBDGELCIMP48,1,IndustrialBuildingElectricityImport48
TO,INDBDGELCIMP49,1,IndustrialBuildingElectricityImport49
TO,INDBDGELCIMP50,1,IndustrialBuildingElectricityImport50
TO,INDBDGHH2EXP,1,IndustrialBuildingHydrogenExport
TO,INDBDGBMTNEXP,1,IndustrialBuildingBio MethaneExport
TO,WATWASBMTNIMP,1,WaterWasteBio MethaneImport
TO,WATWASNGAIMP,1,WaterWasteNatural GasImport
TO,WATWASHH2IMP,1,WaterWasteHydrogenImport
TO,WATWASCETHIMP,1,WaterWasteCellulosic EthanolImport
TO,WATWASFWIMP,1,WaterWasteWaterImport
TO,WATWASETHOSIMP,1,WaterWasteDummyImport
TO,WATWASELCIMP16,1,WaterWasteElectricityImport16
TO,WATWASELCIMP17,1,WaterWasteElectricityImport17
TO,WATWASELCIMP18,1,WaterWasteElectricityImport18
TO,WATWASELCIMP19,1,WaterWasteElectricityImport19
