tech,flag,sector,tech_desc,tech_category
COMBDGLFOIMP,r,TRAENE,CommercialBuildingLight Fuel OilImport,
COMBDGHFOIMP,r,TRAENE,CommercialBuildingHeavy Fuel OilImport,
COMBDGPROIMP,r,TRAENE,CommercialBuildingPropaneImport,
COMBDGBMAIMP,r,TRAENE,CommercialBuildingBiomassImport,
COMBDGHH2IMP,r,TRAENE,CommercialBuildingHydrogenImport,
COMBDGSOLIMP,r,TRAENE,CommercialBuildingSolarImport,
COMBDGKERIMP,r,TRAENE,CommercialBuildingKeroseneImport,
COMBDGBWPIMP,r,TRAENE,CommercialBuildingWood PelletImport,
COMBDGGEOIMP,r,TRAENE,CommercialBuildingGeothermal EnergyImport,
COMBDGBMTNIMP,r,TRAENE,CommercialBuildingBio MethaneImport,
COMBDGSGAIMP,r,TRAENE,CommercialBuildingSynthetic GasImport,
COMBDGELCIMP16,r,TRAENE,CommercialBuildingElectricityImport16,
COMBDGELCIMP17,r,TRAENE,CommercialBuildingElectricityImport17,
COMBDGELCIMP18,r,TRAENE,CommercialBuildingElectricityImport18,
COMBDGELCIMP19,r,TRAENE,CommercialBuildingElectricityImport19,
COMBDGELCIMP20,r,TRAENE,CommercialBuildingElectricityImport20,
COMBDGELCIMP21,r,TRAENE,CommercialBuildingElectricityImport21,
COMBDGELCIMP22,r,TRAENE,CommercialBuildingElectricityImport22,
COMBDGELCIMP23,r,TRAENE,CommercialBuildingElectricityImport23,
COMBDGELCIMP24,r,TRAENE,CommercialBuildingElectricityImport24,
COMBDGELCIMP25,r,TRAENE,CommercialBuildingElectricityImport25,
COMBDGELCIMP26,r,TRAENE,CommercialBuildingElectricityImport26,
COMBDGELCIMP27,r,TRAENE,CommercialBuildingElectricityImport27,
COMBDGELCIMP28,r,TRAENE,CommercialBuildingElectricityImport28,
COMBDGELCIMP29,r,TRAENE,CommercialBuildingElectricityImport29,
COMBDGELCIMP30,r,TRAENE,CommercialBuildingElectricityImport30,
COMBDGELCIMP31,r,TRAENE,CommercialBuildingElectricityImport31,
COMBDGELCIMP32,r,TRAENE,CommercialBuildingElectricityImport32,
COMBDGELCIMP33,r,TRAENE,CommercialBuildingElectricityImport33,
COMBDGELCIMP34,r,TRAENE,CommercialBuildingElectricityImport34,
COMBDGELCIMP35,r,TRAENE,CommercialBuildingElectricityImport35,
COMBDGELCIMP36,r,TRAENE,CommercialBuildingElectricityImport36,
COMBDGELCIMP37,r,TRAENE,CommercialBuildingElectricityImport37,
COMBDGELCIMP38,r,TRAENE,CommercialBuildingElectricityImport38,
COMBDGELCIMP39,r,TRAENE,CommercialBuildingElectricityImport39,
COMBDGELCIMP40,r,TRAENE,CommercialBuildingElectricityImport40,
COMBDGELCIMP41,r,TRAENE,CommercialBuildingElectricityImport41,
COMBDGELCIMP42,r,TRAENE,CommercialBuildingElectricityImport42,
COMBDGELCIMP43,r,TRAENE,CommercialBuildingElectricityImport43,
COMBDGELCIMP44,r,TRAENE,CommercialBuildingElectricityImport44,
COMBDGELCIMP45,r,TRAENE,CommercialBuildingElectricityImport45,
COMBDGELCIMP46,r,TRAENE,CommercialBuildingElectricityImport46,
COMBDGELCIMP47,r,TRAENE,CommercialBuildingElectricityImport47,
COMBDGELCIMP48,r,TRAENE,CommercialBuildingElectricityImport48,
COMBDGELCIMP49,r,TRAENE,CommercialBuildingElectricityImport49,
COMBDGELCIMP50,r,TRAENE,CommercialBuildingElectricityImport50,
COMBDGETHOSIMP,r,TRAENE,CommercialBuildingDummyImport,
COMBDGHH2EXP,p,TRAENE,CommercialBuildingHydrogenExport,
COMBDGBMTNEXP,p,TRAENE,CommercialBuildingBio MethaneExport,
PUBBDGNGAIMP,r,TRAENE,PublicBuildingNatural GasImport,
PUBBDGLFOIMP,r,TRAENE,PublicBuildingLight Fuel OilImport,
PUBBDGHFOIMP,r,TRAENE,PublicBuildingHeavy Fuel OilImport,
PUBBDGPROIMP,r,TRAENE,PublicBuildingPropaneImport,
PUBBDGBMAIMP,r,TRAENE,PublicBuildingBiomassImport,
PUBBDGHH2IMP,r,TRAENE,PublicBuildingHydrogenImport,
PUBBDGSOLIMP,r,TRAENE,PublicBuildingSolarImport,
PUBBDGKERIMP,r,TRAENE,PublicBuildingKeroseneImport,
PUBBDGBWPIMP,r,TRAENE,PublicBuildingWood PelletImport,
PUBBDGGEOIMP,r,TRAENE,PublicBuildingGeothermal EnergyImport,
PUBBDGBMTNIMP,r,TRAENE,PublicBuildingBio MethaneImport,
PUBBDGSGAIMP,r,TRAENE,PublicBuildingSynthetic GasImport,
PUBBDGELCIMP16,r,TRAENE,PublicBuildingElectricityImport16,
PUBBDGELCIMP17,r,TRAENE,PublicBuildingElectricityImport17,
PUBBDGELCIMP18,r,TRAENE,PublicBuildingElectricityImport18,
PUBBDGELCIMP19,r,TRAENE,PublicBuildingElectricityImport19,
PUBBDGELCIMP20,r,TRAENE,PublicBuildingElectricityImport20,
PUBBDGELCIMP21,r,TRAENE,PublicBuildingElectricityImport21,
PUBBDGELCIMP22,r,TRAENE,PublicBuildingElectricityImport22,
PUBBDGELCIMP23,r,TRAENE,PublicBuildingElectricityImport23,
PUBBDGELCIMP24,r,TRAENE,PublicBuildingElectricityImport24,
PUBBDGELCIMP25,r,TRAENE,PublicBuildingElectricityImport25,
PUBBDGELCIMP26,r,TRAENE,PublicBuildingElectricityImport26,
PUBBDGELCIMP27,r,TRAENE,PublicBuildingElectricityImport27,
PUBBDGELCIMP28,r,TRAENE,PublicBuildingElectricityImport28,
PUBBDGELCIMP29,r,TRAENE,PublicBuildingElectricityImport29,
PUBBDGELCIMP30,r,TRAENE,PublicBuildingElectricityImport30,
PUBBDGELCIMP31,r,TRAENE,PublicBuildingElectricityImport31,
PUBBDGELCIMP32,r,TRAENE,PublicBuildingElectricityImport32,
PUBBDGELCIMP33,r,TRAENE,PublicBuildingElectricityImport33,
PUBBDGELCIMP34,r,TRAENE,PublicBuildingElectricityImport34,
PUBBDGELCIMP35,r,TRAENE,PublicBuildingElectricityImport35,
PUBBDGELCIMP36,r,TRAENE,PublicBuildingElectricityImport36,
PUBBDGELCIMP37,r,TRAENE,PublicBuildingElectricityImport37,
PUBBDGELCIMP38,r,TRAENE,PublicBuildingElectricityImport38,
PUBBDGELCIMP39,r,TRAENE,PublicBuildingElectricityImport39,
PUBBDGELCIMP40,r,TRAENE,PublicBuildingElectricityImport40,
PUBBDGELCIMP41,r,TRAENE,PublicBuildingElectricityImport41,
PUBBDGELCIMP42,r,TRAENE,PublicBuildingElectricityImport42,
PUBBDGELCIMP43,r,TRAENE,PublicBuildingElectricityImport43,
PUBBDGELCIMP44,r,TRAENE,PublicBuildingElectricityImport44,
PUBBDGELCIMP45,r,TRAENE,PublicBuildingElectricityImport45,
PUBBDGELCIMP46,r,TRAENE,PublicBuildingElectricityImport46,
PUBBDGELCIMP47,r,TRAENE,PublicBuildingElectricityImport47,
PUBBDGELCIMP48,r,TRAENE,PublicBuildingElectricityImport48,
PUBBDGELCIMP49,r,TRAENE,PublicBuildingElectricityImport49,
PUBBDGELCIMP50,r,TRAENE,PublicBuildingElectricityImport50,
PUBBDGETHOSIMP,r,TRAENE,PublicBuildingDummyImport,
PUBBDGHH2EXP,p,TRAENE,PublicBuildingHydrogenExport,
PUBBDGBMTNEXP,p,TRAENE,PublicBuildingBio MethaneExport,
INDBDGNGAIMP,r,TRAENE,IndustrialBuildingNatural GasImport,
INDBDGBMTNIMP,r,TRAENE,IndustrialBuildingBio MethaneImport,
INDBDGHH2IMP,r,TRAENE,IndustrialBuildingHydrogenImport,
INDBDGLFOIMP,r,TRAENE,IndustrialBuildingLight Fuel OilImport,
INDBDGHFOIMP,r,TRAENE,IndustrialBuildingHeavy Fuel OilImport,
INDBDGPCOKIMP,r,TRAENE,IndustrialBuildingPetcokeImport,
INDBDGPROIMP,r,TRAENE,IndustrialBuildingPropaneImport,
INDBDGCOAIMP,r,TRAENE,IndustrialBuildingCoalImport,
INDBDGCOKIMP,r,TRAENE,IndustrialBuildingCokeImport,
INDBDGBMAIMP,r,TRAENE,IndustrialBuildingBiomassImport,
INDBDGELCIMP16,r,TRAENE,IndustrialBuildingElectricityImport16,
