regions,tech,life,life_notes
TO,COMBDGBMTNEXP,200,CommercialBuildingBio MethaneExport
TO,PUBBDGNGAIMP,200,PublicBuildingNatural GasImport
TO,PUBBDGLFOIMP,200,PublicBuildingLight Fuel OilImport
TO,PUBBDGHFOIMP,200,PublicBuildingHeavy Fuel OilImport
TO,PUBBDGPROIMP,200,PublicBuildingPropaneImport
TO,PUBBDGBMAIMP,200,PublicBuildingBiomassImport
TO,PUBBDGHH2IMP,200,PublicBuildingHydrogenImport
TO,PUBBDGSOLIMP,200,PublicBuildingSolarImport
TO,PUBBDGKERIMP,200,PublicBuildingKeroseneImport
TO,PUBBDGBWPIMP,200,PublicBuildingWood PelletImport
TO,PUBBDGGEOIMP,200,PublicBuildingGeothermal EnergyImport
TO,PUBBDGBMTNIMP,200,PublicBuildingBio MethaneImport
TO,PUBBDGSGAIMP,200,PublicBuildingSynthetic GasImport
TO,PUBBDGELCIMP16,200,PublicBuildingElectricityImport16
TO,PUBBDGELCIMP17,200,PublicBuildingElectricityImport17
TO,PUBBDGELCIMP18,200,PublicBuildingElectricityImport18
TO,PUBBDGELCIMP19,200,PublicBuildingElectricityImport19
TO,PUBBDGELCIMP20,200,PublicBuildingElectricityImport20
TO,PUBBDGELCIMP21,200,PublicBuildingElectricityImport21
TO,PUBBDGELCIMP22,200,PublicBuildingElectricityImport22
TO,PUBBDGELCIMP23,200,PublicBuildingElectricityImport23
TO,PUBBDGELCIMP24,200,PublicBuildingElectricityImport24
TO,PUBBDGELCIMP25,200,PublicBuildingElectricityImport25
TO,PUBBDGELCIMP26,200,PublicBuildingElectricityImport26
TO,PUBBDGELCIMP27,200,PublicBuildingElectricityImport27
TO,PUBBDGELCIMP28,200,PublicBuildingElectricityImport28
TO,PUBBDGELCIMP29,200,PublicBuildingElectricityImport29
TO,PUBBDGELCIMP30,200,PublicBuildingElectricityImport30
TO,PUBBDGELCIMP31,200,PublicBuildingElectricityImport31
TO,PUBBDGELCIMP32,200,PublicBuildingElectricityImport32
TO,PUBBDGELCIMP33,200,PublicBuildingElectricityImport33
TO,PUBBDGELCIMP34,200,PublicBuildingElectricityImport34
TO,PUBBDGELCIMP35,200,PublicBuildingElectricityImport35
TO,PUBBDGELCIMP36,200,PublicBuildingElectricityImport36
TO,PUBBDGELCIMP37,200,PublicBuildingElectricityImport37
TO,PUBBDGELCIMP38,200,PublicBuildingElectricityImport38
TO,PUBBDGELCIMP39,200,PublicBuildingElectricityImport39
TO,PUBBDGELCIMP40,200,PublicBuildingElectricityImport40
TO,PUBBDGELCIMP41,200,PublicBuildingElectricityImport41
TO,PUBBDGELCIMP42,200,PublicBuildingElectricityImport42
TO,PUBBDGELCIMP43,200,PublicBuildingElectricityImport43
TO,PUBBDGELCIMP44,200,PublicBuildingElectricityImport44
TO,PUBBDGELCIMP45,200,PublicBuildingElectricityImport45
TO,PUBBDGELCIMP46,200,PublicBuildingElectricityImport46
TO,PUBBDGELCIMP47,200,PublicBuildingElectricityImport47
TO,PUBBDGELCIMP48,200,PublicBuildingElectricityImport48
TO,PUBBDGELCIMP49,200,PublicBuildingElectricityImport49
TO,PUBBDGELCIMP50,200,PublicBuildingElectricityImport50
TO,PUBBDGETHOSIMP,200,PublicBuildingDummyImport
TO,PUBBDGHH2EXP,200,PublicBuildingHydrogenExport
TO,PUBBDGBMTNEXP,200,PublicBuildingBio MethaneExport
TO,INDBDGNGAIMP,200,IndustrialBuildingNatural GasImport
TO,INDBDGBMTNIMP,200,IndustrialBuildingBio MethaneImport
TO,INDBDGHH2IMP,200,IndustrialBuildingHydrogenImport
TO,INDBDGLFOIMP,200,IndustrialBuildingLight Fuel OilImport
TO,INDBDGHFOIMP,200,IndustrialBuildingHeavy Fuel OilImport
TO,INDBDGPCOKIMP,200,IndustrialBuildingPetcokeImport
TO,INDBDGPROIMP,200,IndustrialBuildingPropaneImport
TO,INDBDGCOAIMP,200,IndustrialBuildingCoalImport
TO,INDBDGCOKIMP,200,IndustrialBuildingCokeImport
TO,INDBDGBMAIMP,200,IndustrialBuildingBiomassImport
TO,INDBDGELCIMP16,200,IndustrialBuildingElectricityImport16
TO,INDBDGELCIMP17,200,IndustrialBuildingElectricityImport17
TO,INDBDGELCIMP18,200,IndustrialBuildingElectricityImport18
TO,INDBDGELCIMP19,200,IndustrialBuildingElectricityImport19
TO,INDBDGELCIMP20,200,IndustrialBuildingElectricityImport20
TO,INDBDGELCIMP21,200,IndustrialBuildingElectricityImport21
TO,INDBDGELCIMP22,200,IndustrialBuildingElectricityImport22
TO,INDBDGELCIMP23,200,IndustrialBuildingElectricityImport23
TO,INDBDGELCIMP24,200,IndustrialBuildingElectricityImport24
TO,INDBDGELCIMP25,200,IndustrialBuildingElectricityImport25
TO,INDBDGELCIMP26,200,IndustrialBuildingElectricityImport26
TO,INDBDGELCIMP27,200,IndustrialBuildingElectricityImport27
TO,INDBDGELCIMP28,200,IndustrialBuildingElectricityImport28
TO,INDBDGELCIMP29,200,IndustrialBuildingElectricityImport29
TO,INDBDGELCIMP30,200,IndustrialBuildingElectricityImport30
TO,INDBDGELCIMP31,200,IndustrialBuildingElectricityImport31
TO,INDBDGELCIMP32,200,IndustrialBuildingElectricityImport32
TO,INDBDGELCIMP33,200,IndustrialBuildingElectricityImport33
TO,INDBDGELCIMP34,200,IndustrialBuildingElectricityImport34
TO,INDBDGELCIMP35,200,IndustrialBuildingElectricityImport35
TO,INDBDGELCIMP36,200,IndustrialBuildingElectricityImport36
TO,INDBDGELCIMP37,200,IndustrialBuildingElectricityImport37
TO,INDBDGELCIMP38,200,IndustrialBuildingElectricityImport38
TO,INDBDGELCIMP39,200,IndustrialBuildingElectricityImport39
TO,INDBDGELCIMP40,200,IndustrialBuildingElectricityImport40
TO,INDBDGELCIMP41,200,IndustrialBuildingElectricityImport41
TO,INDBDGELCIMP42,200,IndustrialBuildingElectricityImport42
TO,INDBDGELCIMP43,200,IndustrialBuildingElectricityImport43
TO,INDBDGELCIMP44,200,IndustrialBuildingElectricityImport44
TO,INDBDGELCIMP45,200,IndustrialBuildingElectricityImport45
TO,INDBDGELCIMP46,200,IndustrialBuildingElectricityImport46
TO,INDBDGELCIMP47,200,IndustrialBuildingElectricityImport47
TO,INDBDGELCIMP48,200,IndustrialBuildingElectricityImport48
TO,INDBDGELCIMP49,200,IndustrialBuildingElectricityImport49
TO,INDBDGELCIMP50,200,IndustrialBuildingElectricityImport50
TO,INDBDGHH2EXP,200,IndustrialBuildingHydrogenExport
TO,INDBDGBMTNEXP,200,IndustrialBuildingBio MethaneExport
TO,WATWASBMTNIMP,200,WaterWasteBio MethaneImport
TO,WATWASNGAIMP,200,WaterWasteNatural GasImport
TO,WATWASHH2IMP,200,WaterWasteHydrogenImport
TO,WATWASCETHIMP,200,WaterWasteCellulosic EthanolImport
TO,WATWASFWIMP,200,WaterWasteWaterImport
TO,WATWASETHOSIMP,200,WaterWasteDummyImport
TO,WATWASELCIMP16,200,WaterWasteElectricityImport16
TO,WATWASELCIMP17,200,WaterWasteElectricityImport17
TO,WATWASELCIMP18,200,WaterWasteElectricityImport18
TO,WATWASELCIMP19,200,WaterWasteElectricityImport19
