regions,tech,group_name,act_fraction,tech_desc
TO,RESBDGELCIMP49,TRAENE-RESBDG,1,
TO,RESBDGELCIMP50,TRAENE-RESBDG,1,
TO,FRETRAETHIMP,TRAENE-FRETRA,1,
TO,PASTRAETHIMP,TRAENE-PASTRA,1,
TO,PUBTRAETHIMP,TRAENE-PUBTRA,1,
TO,COMBDGETHOSIMP,TRAENE-COMBDG,1,
TO,INDBDGETHOSIMP,TRAENE-INDBDG,1,
TO,PUBBDGETHOSIMP,TRAENE-PUBBDG,1,
TO,RESBDGETHOSIMP,TRAENE-RESBDG,1,
TO,FRETRAFTDSLIMP,TRAENE-FRETRA,1,
TO,PUBTRAFTDSLIMP,TRAENE-PUBTRA,1,
TO,FRETRAGASIMP,TRAENE-FRETRA,1,
TO,PASTRAGASIMP,TRAENE-PASTRA,1,
TO,PUBTRAGASIMP,TRAENE-PUBTRA,1,
TO,COMBDGGEOIMP,TRAENE-COMBDG,1,
TO,PUBBDGGEOIMP,TRAENE-PUBBDG,1,
TO,RESBDGGEOIMP,TRAENE-RESBDG,1,
TO,COMBDGHFOIMP,TRAENE-COMBDG,1,
TO,FRETRAHFOIMP,TRAENE-FRETRA,1,
TO,INDBDGHFOIMP,TRAENE-INDBDG,1,
TO,PUBBDGHFOIMP,TRAENE-PUBBDG,1,
TO,PUBTRAHFOIMP,TRAENE-PUBTRA,1,
TO,COMBDGHH2IMP,TRAENE-COMBDG,1,
TO,FRETRAHH2IMP,TRAENE-FRETRA,1,
TO,INDBDGHH2IMP,TRAENE-INDBDG,1,
TO,PASTRAHH2IMP,TRAENE-PASTRA,1,
TO,PUBBDGHH2IMP,TRAENE-PUBBDG,1,
TO,PUBTRAHH2IMP,TRAENE-PUBTRA,1,
TO,RESBDGHH2IMP,TRAENE-RESBDG,1,
TO,COMBDGKERIMP,TRAENE-COMBDG,1,
TO,FRETRAKERIMP,TRAENE-FRETRA,1,
TO,PUBBDGKERIMP,TRAENE-PUBBDG,1,
TO,PUBTRAKERIMP,TRAENE-PUBTRA,1,
TO,RESBDGKERIMP,TRAENE-RESBDG,1,
TO,COMBDGLFOIMP,TRAENE-COMBDG,1,
TO,FRETRALFOIMP,TRAENE-FRETRA,1,
TO,INDBDGLFOIMP,TRAENE-INDBDG,1,
TO,PUBBDGLFOIMP,TRAENE-PUBBDG,1,
TO,PUBTRALFOIMP,TRAENE-PUBTRA,1,
TO,RESBDGLFOIMP,TRAENE-RESBDG,1,
TO,COMBDGNGAIMP,TRAENE-COMBDG,1,
TO,FRETRANGAIMP,TRAENE-FRETRA,1,
TO,INDBDGNGAIMP,TRAENE-INDBDG,1,
TO,PASTRANGAIMP,TRAENE-PASTRA,1,
TO,PUBBDGNGAIMP,TRAENE-PUBBDG,1,
