regions,periods,tech,minact,minact_units,minact_notes
TO,2020,PASTRAROATRULGTRSHCONVNGA____16,0.0,,
TO,2020,PASTRAROATRULGTTAXCONVNGA____16,0.0,,
TO,2020,PASTRAROABUSIUBDURTCONVGAS____16,0.0,,
TO,2020,PASTRAROABUSIUBGOBCONVGAS____16,0.0,,
TO,2020,PASTRAROABUSIUBMWAYCONVGAS____16,0.0,,
TO,2020,PASTRAROABUSIUBVIVACONVGAS____16,0.0,,
TO,2020,PASTRAROABUSSCB___CONVGAS____16,0.2,,
TO,2020,PASTRAROABUSURBTBUCONVGAS____16,0.0,,
TO,2020,PASTRAROABUSURBWTBCONVGAS____16,0.0,,
TO,2020,PASTRAROACAR___ADRCONVGAS____16,1661.9,,
TO,2020,PASTRAROACAR___APGCONVGAS____16,208.4,,
TO,2020,PASTRAROACAR___RSHCONVGAS____16,13.2,,
TO,2020,PASTRAROACAR___TAXCONVGAS____16,22.4,,
TO,2020,PASTRAROAMOR______CONVGAS____16,11.6,,
TO,2020,PASTRAROATRULGTADRCONVGAS____16,1692.9,,
TO,2020,PASTRAROATRULGTAPGCONVGAS____16,212.3,,
TO,2020,PASTRAROATRULGTRSHCONVGAS____16,13.4,,
TO,2020,PASTRAROATRULGTTAXCONVGAS____16,7.3,,
TO,2020,PASTRAROACAR___ADRCONVPRO____16,17.9,,
TO,2020,PASTRAROACAR___APGCONVPRO____16,2.2,,
TO,2020,PASTRAROACAR___RSHCONVPRO____16,0.1,,
TO,2020,PASTRAROACAR___TAXCONVPRO____16,0.2,,
TO,2020,PASTRAROATRULGTADRCONVPRO____16,5.6,,
TO,2020,PASTRAROATRULGTAPGCONVPRO____16,0.7,,
TO,2020,PASTRAROATRULGTRSHCONVPRO____16,0.0,,
TO,2020,PASTRAROATRULGTTAXCONVPRO____16,0.0,,
TO,2021,PASTRARAIREG___GOR___DSL____16,0.8,,
TO,2021,PASTRARAIREG___GOR___ELC____16,0.0,,
TO,2021,PASTRARAIREG___UPX___DSL____16,0.1,,
TO,2021,PASTRARAIREG___UPX___ELC____16,0.0,,
TO,2021,PASTRARAISUB___TSU___DSL____16,0.0,,
TO,2021,PASTRARAISUB___TSU___ELC____16,15.1,,
TO,2021,PASTRARAITRM___TST___DSL____16,0.0,,
TO,2021,PASTRARAITRM___TST___ELC____16,2.3,,
TO,2021,PASTRAROABUSIUBDURTCONVDSL____16,0.1,,
TO,2021,PASTRAROABUSIUBGOBCONVDSL____16,0.8,,
TO,2021,PASTRAROABUSIUBMWAYCONVDSL____16,0.9,,
TO,2021,PASTRAROABUSIUBVIVACONVDSL____16,0.1,,
TO,2021,PASTRAROABUSSCB___CONVDSL____16,1.7,,
TO,2021,PASTRAROABUSURBTBUCONVDSL____16,37.0,,
TO,2021,PASTRAROABUSURBWTBCONVDSL____16,6.8,,
TO,2021,PASTRAROACAR___ADRCONVDSL____16,24.4,,
