regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2040,RESBDGSDEOldSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHBOI___STDHH2_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHSTV___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHSTV___HIGBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHHEP___STDGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHSTV___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHSTV___HIGBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHHEP___ESRGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHHEP___HIGGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHHEP___STDGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHBOI___STDHH2_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHHEP___ESRGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHHEP___HIGGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHHEP___STDGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHHEP___ESRGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHHEP___HIGGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHBOI___STDHH2_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHBOI___STDHH2_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHBOI___STDHH2_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
