regions,tech,life,life_notes
TO,PUBTRAPOLROATRUMETHYBDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridDiesel2023
TO,PUBTRAPOLROATRUMETPHEVDSLBELCF_23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRAPOLROATRUMETBEVBELCF____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRAPOLROATRUMETCONVGAS____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2023
TO,PUBTRAPOLROATRUMETCELLHH2____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRAPOLROATRUMETCONVNGA____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,PUBTRAPOLROATRUMETCONVPRO____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalPropane2023
TO,PUBTRAPOLROATRUMETCONVRDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel2023
TO,PUBTRAPOLROATRUMETHYBRDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridRenewable Diesel2023
TO,PUBTRAPOLROATRUMETPHEVRDSLBELCF_23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRAPOLROATRUMETCONVDSL____16,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2016
TO,PUBTRAPOLROATRUMETCONVGAS____16,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2016
TO,PUBTRAPOLROACAR___CONVDSL____23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2023
TO,PUBTRAPOLROACAR___HYBDSL____23,15.0,PublicTransportationPolice ServicesRoadCarsHybridDiesel2023
TO,PUBTRAPOLROACAR___BEV320BELC____23,15.0,PublicTransportationPolice ServicesRoadCars320VElectricityBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___BEV480BELC____23,15.0,PublicTransportationPolice ServicesRoadCars480VElectricityBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___BEV640BELC____23,15.0,PublicTransportationPolice ServicesRoadCars640VElectricityBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___CONVGAS____23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline2023
TO,PUBTRAPOLROACAR___HYBGAS____23,15.0,PublicTransportationPolice ServicesRoadCarsHybridGasoline2023
TO,PUBTRAPOLROACAR___PHEVGASBELC_23,15.0,PublicTransportationPolice ServicesRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___CELLHH2____23,15.0,PublicTransportationPolice ServicesRoadCarsFuel Cell VehicleHydrogen2023
TO,PUBTRAPOLROACAR___CONVNGABIF_23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalNatural GasBi Fuel2023
TO,PUBTRAPOLROACAR___CONVNGA____23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalNatural Gas2023
TO,PUBTRAPOLROACAR___CONVPROBIF_23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalPropaneBi Fuel2023
TO,PUBTRAPOLROACAR___CONVPRO____23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalPropane2023
TO,PUBTRAPOLROACAR___CONVRDSL____23,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalRenewable Diesel2023
TO,PUBTRAPOLROACAR___HYBRDSL____23,15.0,PublicTransportationPolice ServicesRoadCarsHybridRenewable Diesel2023
TO,PUBTRAPOLROACAR___CONVDSL____16,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2016
TO,PUBTRAPOLROACAR___CONVGAS____16,15.0,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline2016
TO,PUBTRAFLEROACAR___CONVDSL____23,15.0,PublicTransportationFleet ServicesRoadCarsConventionnalDiesel2023
TO,PUBTRAFLEROACAR___HYBDSL____23,15.0,PublicTransportationFleet ServicesRoadCarsHybridDiesel2023
TO,PUBTRAFLEROACAR___BEV320BELC____23,15.0,PublicTransportationFleet ServicesRoadCars320VElectricityBattery Electric Vehicle2023
TO,PUBTRAFLEROACAR___BEV480BELC____23,15.0,PublicTransportationFleet ServicesRoadCars480VElectricityBattery Electric Vehicle2023
TO,PUBTRAFLEROACAR___BEV640BELC____23,15.0,PublicTransportationFleet ServicesRoadCars640VElectricityBattery Electric Vehicle2023
