tech,flag,sector,tech_desc,tech_category
PUBTRAFLEROATRUHETPHEVNGABELCF_23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023,
PUBTRAFLEROATRUHETCONVRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalRenewable Diesel2023,
PUBTRAFLEROATRUHETHYBRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksHybridRenewable Diesel2023,
PUBTRATHCROATRUHETCATEDSLELC_25,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryDieselElectricity2025,
PUBTRATHCROATRUHETPHEVDSLBELCF_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
PUBTRATHCROATRUHETCATENGAELC_25,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025,
PUBTRATHCROATRUHETCONVNGA____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalNatural Gas2023,
PUBTRATHCROATRUHETPHEVNGABELCF_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023,
PUBTRATHCROATRUHETCONVRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalRenewable Diesel2023,
PUBTRATHCROATRUHETHYBRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksHybridRenewable Diesel2023,
PUBTRAFLEROATRULGTPHEVGASBELCF_23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023,
PUBTRAFLEROATRULGTCONVNGA____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalNatural Gas2023,
PUBTRAFLEROATRULGTCONVRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023,
PUBTRAFLEROATRULGTHYBRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksHybridRenewable Diesel2023,
PUBTRAPOLROATRULGTPHEVGASBELCF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023,
PUBTRAPOLROATRULGTCONVNGA____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalNatural Gas2023,
PUBTRAPOLROATRULGTCONVRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023,
PUBTRAPOLROATRULGTHYBRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksHybridRenewable Diesel2023,
PUBTRATHCROATRULGTPHEVGASBELCF_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023,
PUBTRATHCROATRULGTCONVNGA____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalNatural Gas2023,
PUBTRATHCROATRULGTCONVRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023,
PUBTRATHCROATRULGTHYBRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridRenewable Diesel2023,
PUBTRAFLEROATRUMETPHEVDSLBELCF_23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
PUBTRAFLEROATRUMETCONVNGA____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalNatural Gas2023,
PUBTRAFLEROATRUMETCONVRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel2023,
PUBTRAFLEROATRUMETHYBRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksHybridRenewable Diesel2023,
PUBTRATHCROATRUMETPHEVDSLBELCF_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
PUBTRATHCROATRUMETCONVNGA____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalNatural Gas2023,
PUBTRATHCROATRUMETCONVRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalRenewable Diesel2023,
PUBTRATHCROATRUMETHYBRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksHybridRenewable Diesel2023,
PUBTRAPOLROATRUMETPHEVDSLBELCF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
PUBTRAPOLROATRUMETCONVNGA____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalNatural Gas2023,
PUBTRAPOLROATRUMETCONVRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel2023,
PUBTRAPOLROATRUMETHYBRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridRenewable Diesel2023,
PUBTRAPOLROACAR___PHEVGASBELC_23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023,
PUBTRAPOLROACAR___CONVNGABIF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalNatural GasBi Fuel2023,
PUBTRAPOLROACAR___CONVNGA____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalNatural Gas2023,
PUBTRAPOLROACAR___CONVRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalRenewable Diesel2023,
PUBTRAPOLROACAR___HYBRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsHybridRenewable Diesel2023,
PUBTRAFLEROACAR___PHEVGASBELC_23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023,
PUBTRAFLEROACAR___CONVNGABIF_23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalNatural GasBi Fuel2023,
PUBTRAFLEROACAR___CONVNGA____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalNatural Gas2023,
PUBTRAFLEROACAR___CONVRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalRenewable Diesel2023,
PUBTRAFLEROACAR___HYBRDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsHybridRenewable Diesel2023,
PUBTRATHCROACAR___PHEVGASBELC_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023,
PUBTRATHCROACAR___CONVNGABIF_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalNatural GasBi Fuel2023,
PUBTRATHCROACAR___CONVNGA____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalNatural Gas2023,
PUBTRATHCROACAR___CONVRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalRenewable Diesel2023,
PUBTRATHCROACAR___HYBRDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsHybridRenewable Diesel2023,
PUBTRAPOLROATRUHETCATERDSLELC_25,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025,
PUBTRAPOLROATRUHETPHEVRDSLBELCF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023,
PUBTRAFLEROATRUHETCATERDSLELC_25,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025,
